,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459119.9674884,55.0832786,38.0643766,2,20.066299438476562,0.11587200313806534,59119.46748840017
1,2459118.966331,55.0833625,38.0643,1,20.89150047302246,0.2837870121002197,59118.466330999974
2,2459117.8914352,55.0833318,38.0643736,2,20.12779998779297,0.1384740024805069,59117.39143519988
3,2459117.0095718,55.0832624,38.0643326,1,20.77549934387207,0.24561800062656403,59116.50957180001
4,2459116.9303588,55.083265,38.064346,2,19.9773006439209,0.13075700402259827,59116.430358800106
5,2459116.8739583,55.0832818,38.0643769,2,20.133899688720703,0.15951299667358398,59116.37395829987
6,2459115.8464352,55.0833226,38.0643749,2,20.105499267578125,0.16199100017547607,59115.34643519996
7,2459114.9140972,55.0832676,38.0643514,2,19.98870086669922,0.12611299753189087,59114.41409720015
8,2459113.9276505,55.0832904,38.0643299,2,19.971599578857422,0.10653200000524521,59113.42765050009
9,2459113.9104861,55.0833652,38.0643115,1,20.610300064086914,0.21114599704742432,59113.410486099776
11,2459112.8916551,55.0833299,38.0643226,2,19.81909942626953,0.11949100345373154,59112.391655100044
12,2459111.0074769,55.0833316,38.0643611,1,20.388900756835938,0.20052699744701385,59110.50747689977
13,2459110.9641088,55.0832278,38.0643182,2,19.85610008239746,0.14230699837207794,59110.46410880005
15,2459109.9013426,55.083327,38.0643193,2,19.76420021057129,0.16166800260543823,59109.40134260012
17,2459107.9042014,55.0833001,38.0643369,1,19.92690086364746,0.15813800692558289,59107.4042014
18,2459107.8955208,55.0832812,38.0643078,1,19.90920066833496,0.1522970050573349,59107.39552079979
19,2459106.9998727,55.0832936,38.0643689,1,19.851299285888672,0.16773900389671326,59106.499872699846
21,2459097.9237153,55.0833969,38.0643932,1,19.356399536132812,0.17272299528121948,59097.42371529993
22,2459096.9696412,55.0833085,38.0643385,1,19.446300506591797,0.1500290036201477,59096.4696411998
23,2459096.8506713,55.0832211,38.0643172,2,19.063199996948242,0.1127920001745224,59096.3506713002
24,2459095.9094907,55.0833043,38.064364,2,19.28059959411621,0.15187199413776398,59095.40949069988
25,2459094.8710417,55.0832711,38.0643584,2,19.180400848388672,0.16457100212574005,59094.37104169978
26,2459093.9922106,55.0832753,38.0643099,2,19.42650032043457,0.11834000051021576,59093.49221060006
27,2459093.9786111,55.0833248,38.064328,1,19.39539909362793,0.14026600122451782,59093.4786111
28,2459093.9681366,55.0833293,38.0643316,1,19.422000885009766,0.15648500621318817,59093.46813660022
29,2459092.8833218,55.0833269,38.0643476,1,19.452199935913086,0.20962700247764587,59092.3833217998
30,2459091.9783449,55.0832967,38.064338,2,19.395099639892578,0.09028200060129166,59091.47834490007
31,2459091.8926968,55.0833047,38.0643606,1,19.584699630737305,0.1748030036687851,59091.392696800176
32,2459090.9764005,55.0833002,38.0643482,2,19.42919921875,0.09844700247049332,59090.47640050016
33,2459090.8930093,55.0832601,38.064351,1,19.525800704956055,0.13656100630760193,59090.39300929988
34,2459089.9888889,55.0832994,38.0643623,1,19.584299087524414,0.12712399661540985,59089.488888899796
35,2459089.9655093,55.0832749,38.0642829,2,19.41080093383789,0.1211009994149208,59089.46550930012
36,2459089.0066551,55.0832858,38.0643573,1,19.678600311279297,0.14133700728416443,59088.5066550998
37,2459088.9276157,55.0833177,38.0643004,2,19.555400848388672,0.11333700269460678,59088.427615699824
38,2459087.9937963,55.0833168,38.064317,1,19.761999130249023,0.13129399716854095,59087.49379630014
39,2459087.0141319,55.0832611,38.0644057,1,19.81800079345703,0.21144500374794006,59086.51413189992
40,2459086.9927083,55.0833168,38.0643439,1,19.802400588989258,0.1180419996380806,59086.492708299775
41,2459086.9416319,55.0833143,38.0643462,2,19.668100357055664,0.11551900207996368,59086.44163190015
42,2459086.9320718,55.0833044,38.0643451,2,19.6560001373291,0.1082959994673729,59086.43207179988
43,2459085.9749074,55.0833236,38.0643148,2,19.805099487304688,0.10615900158882141,59085.47490740009
44,2459085.953125,55.0833491,38.0643547,1,19.959299087524414,0.15310299396514893,59085.453125
45,2459085.0018056,55.0833102,38.0643163,2,19.953800201416016,0.13773800432682037,59084.50180559978
46,2459084.9968403,55.0833513,38.0642946,2,20.060800552368164,0.13639800250530243,59084.49684030004
47,2459084.9678935,55.0833202,38.0643367,1,20.09440040588379,0.14913299679756165,59084.46789349988
48,2459083.9850116,55.0833244,38.0642884,1,20.358299255371094,0.19296100735664368,59083.48501159996
49,2459083.9686343,55.0833719,38.0643249,2,20.24519920349121,0.208964005112648,59083.468634299934
50,2459083.0013426,55.0833911,38.0643681,2,20.362699508666992,0.16797000169754028,59082.50134260021
51,2459082.9932292,55.0832907,38.0643961,2,20.26569938659668,0.19542400538921356,59082.49322920013
