,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459467.9104514,50.7197887,42.5561019,2,20.169450759887695,0.21646399796009064,59467.410451400094
1,2459465.9854167,50.7199442,42.5561045,2,20.504499435424805,0.3109489977359772,59465.48541670013
4,2459465.9258681,50.7199372,42.5560986,1,20.61199951171875,0.25342199206352234,59465.42586810002
5,2459463.9736574,50.719836,42.5562111,2,20.34869956970215,0.19895100593566895,59463.47365739988
6,2459463.9483681,50.719818,42.5560744,1,20.847200393676758,0.2788749933242798,59463.448368099984
7,2459463.9302083,50.7196646,42.5560572,1,20.77549934387207,0.30991101264953613,59463.430208299775
8,2459463.9066551,50.7198184,42.5561007,2,20.364500045776367,0.18688200414180756,59463.406655100174
9,2459461.9768519,50.7198547,42.55594,2,20.368600845336914,0.24137599766254425,59461.47685190011
11,2459461.9514699,50.7197536,42.5560533,1,20.88960075378418,0.29382601380348206,59461.45146990009
13,2459459.9700463,50.7197977,42.5561707,2,20.56760025024414,0.253385990858078,59459.470046299975
19,2459453.9756829,50.7196059,42.5560424,2,20.20039939880371,0.2968730032444,59453.47568289982
28,2459444.9740509,50.7198368,42.5560736,2,20.497600555419922,0.25596898794174194,59444.47405089997
37,2459436.9734838,50.7198714,42.5560273,2,20.5669002532959,0.23230600357055664,59436.47348379996
39,2459436.9549884,50.7196161,42.5560726,1,20.5487003326416,0.41959598660469055,59436.454988399986
40,2459436.9545255,50.7199175,42.5561111,1,20.809499740600586,0.3765319883823395,59436.45452550007
42,2459434.9683449,50.7198527,42.5561281,2,20.249000549316406,0.17829599976539612,59434.468344899826
43,2459434.9507986,50.7198146,42.5561258,1,20.865699768066406,0.3539470136165619,59434.45079859998
48,2459426.9471065,50.7198625,42.5559929,2,20.134000778198242,0.246847003698349,59426.447106500156
53,2459406.975544,50.7198962,42.556148,2,20.382099151611328,0.2979060113430023,59406.475544000044
66,2459293.6809375,50.7199187,42.5561582,2,18.898500442504883,0.1098949983716011,59293.180937500205
67,2459291.6946181,50.7198236,42.5561213,2,18.824920654296875,0.11131899803876877,59291.194618099835
68,2459291.6941551,50.7198548,42.5560431,2,18.902299880981445,0.09064500033855438,59291.1941550998
69,2459279.6460417,50.7198728,42.5561096,2,18.823999404907227,0.13551899790763855,59279.14604170015
71,2459278.6406597,50.7197672,42.5561325,2,18.792600631713867,0.1381160020828247,59278.14065970015
72,2459276.6766551,50.7197557,42.5560944,1,19.544729232788086,0.16122199594974518,59276.17665510019
73,2459276.6426389,50.7198456,42.5561051,2,18.744840621948242,0.08470600098371506,59276.14263889985
74,2459275.656956,50.7198729,42.5559016,1,19.662099838256836,0.2121099978685379,59275.15695599979
77,2459273.6574306,50.7199196,42.5561462,1,19.354999542236328,0.23121599853038788,59273.15743059991
79,2459271.6380787,50.7198647,42.5560543,2,18.82670021057129,0.09124699980020523,59271.13807869982
80,2459271.6376042,50.7198418,42.5560753,2,18.854299545288086,0.11598200350999832,59271.137604199816
83,2459269.6594213,50.7198645,42.5561148,2,18.7637996673584,0.0995820015668869,59269.15942130005
84,2459269.636794,50.7198441,42.5560948,2,18.67690086364746,0.08360999822616577,59269.13679399993
85,2459267.7201968,50.7197616,42.5560244,1,19.446500778198242,0.28766700625419617,59267.22019679984
86,2459267.6610648,50.7198286,42.5561231,2,18.74340057373047,0.10131900012493134,59267.161064799875
87,2459267.6403356,50.7198677,42.5560936,2,18.764299392700195,0.08441299945116043,59267.14033559989
89,2459265.6771991,50.7198434,42.5561035,1,19.437700271606445,0.1377979964017868,59265.177199100144
