,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459200.7548958,66.5914733,-10.0988635,2,20.04330062866211,0.15706300735473633,59200.25489579979
1,2459200.7152662,66.5914377,-10.0987608,1,20.405099868774414,0.25644901394844055,59200.21526619978
2,2459198.8025926,66.5914903,-10.0989528,1,20.143999099731445,0.19269099831581116,59198.30259260023
3,2459194.7965162,66.5914059,-10.0989484,2,19.85700035095215,0.16412599384784698,59194.29651620006
4,2459194.7806019,66.5914679,-10.0986912,1,20.32819938659668,0.2576180100440979,59194.28060190007
5,2459189.7393519,66.5914195,-10.0988409,2,19.864500045776367,0.17346900701522827,59189.23935189983
6,2459185.9024421,66.5914578,-10.0988477,1,19.419200897216797,0.19284500181674957,59185.40244209999
7,2459185.8154051,66.59139,-10.098863,2,19.5669002532959,0.20496800541877747,59185.31540510012
11,2459179.8151968,66.5914897,-10.098795,2,19.544300079345703,0.18477800488471985,59179.315196800046
13,2459177.8798611,66.5914316,-10.0988335,1,20.02829933166504,0.17481400072574615,59177.37986110011
14,2459174.8267708,66.5914374,-10.0987658,1,19.891399383544922,0.16105599701404572,59174.326770800166
15,2459172.8144444,66.5914719,-10.0988179,1,19.759700775146484,0.10416100174188614,59172.314444399904
16,2459170.9267014,66.5914106,-10.0988095,1,19.808000564575195,0.15173600614070892,59170.42670139996
17,2459170.7934259,66.5914776,-10.0988306,2,19.166900634765625,0.09680899977684021,59170.29342589993
18,2459168.913831,66.5914701,-10.0988127,2,19.119600296020508,0.09359099715948105,59168.413831000216
19,2459168.8616898,66.5914122,-10.0988272,1,19.75589942932129,0.128493994474411,59168.36168979993
20,2459167.8789468,66.5913734,-10.0987606,1,19.735000610351562,0.1724970042705536,59167.378946799785
21,2459167.8479514,66.5914614,-10.0988436,2,19.07670021057129,0.08982899785041809,59167.347951400094
22,2459165.8572338,66.5914184,-10.0988367,1,19.77720069885254,0.11814700067043304,59165.357233799994
23,2459165.8366782,66.591447,-10.0988141,2,19.022499084472656,0.08082599937915802,59165.336678199936
24,2459158.9406481,66.5913648,-10.0987774,1,19.555500030517578,0.2051749974489212,59158.44064809987
25,2459158.8720833,66.5914751,-10.0988602,2,18.73940086364746,0.16438600420951843,59158.37208329979
26,2459156.9158565,66.591397,-10.0988551,1,19.624799728393555,0.22345200181007385,59156.415856500156
27,2459156.8301968,66.5914306,-10.0987982,2,18.667299270629883,0.0859140008687973,59156.330196800176
28,2459155.9287847,66.591443,-10.0987852,2,18.658100128173828,0.08296100050210953,59155.42878470011
30,2459152.9030787,66.5914222,-10.0988304,2,18.632999420166016,0.09017699956893921,59152.40307869995
32,2459151.8429167,66.5913951,-10.0988172,2,18.660600662231445,0.08966399729251862,59151.34291670006
34,2459150.8987847,66.5914379,-10.0988787,1,19.608600616455078,0.21363000571727753,59150.39878469985
35,2459150.8056019,66.5914357,-10.0988312,2,18.437299728393555,0.07802599668502808,59150.30560189998
36,2459149.8798727,66.5914446,-10.0988201,2,18.487899780273438,0.0939439982175827,59149.3798727002
37,2459145.9038657,66.5914049,-10.0988137,1,19.479999542236328,0.0949999988079071,59145.40386570012
38,2459145.8692708,66.5914349,-10.0988114,2,18.29439926147461,0.05437999963760376,59145.36927080015
39,2459143.8989815,66.5914436,-10.0988102,1,19.363399505615234,0.09103000164031982,59143.39898149995
40,2459143.8515278,66.5914448,-10.0988215,2,18.204500198364258,0.04861599951982498,59143.35152779985
41,2459141.9198032,66.5914367,-10.0988165,1,19.272499084472656,0.11714699864387512,59141.419803199824
42,2459139.9186921,66.5914397,-10.0988153,1,19.14940071105957,0.11980599910020828,59139.41869209986
43,2459139.863588,66.5914507,-10.0988128,2,17.956300735473633,0.05808199942111969,59139.36358800018
44,2459136.9618634,66.591454,-10.0988023,2,17.75629997253418,0.046946000307798386,59136.46186339995
45,2459136.9206366,66.5914496,-10.0988157,1,18.970699310302734,0.0845239982008934,59136.42063659988
46,2459134.9399074,66.5914326,-10.0988392,2,17.63089942932129,0.04295099899172783,59134.43990739994
47,2459134.9164583,66.5914221,-10.0988047,1,18.842599868774414,0.09353899955749512,59134.41645829985
50,2459129.9643403,66.5914373,-10.0987985,2,17.488000869750977,0.04148799926042557,59129.46434029983
51,2459129.9383218,66.5914549,-10.098833,1,18.31100082397461,0.0734269991517067,59129.43832179997
52,2459127.9763773,66.5913748,-10.0988412,2,17.311399459838867,0.17572100460529327,59127.47637729999
53,2459125.9659375,66.5914245,-10.098818,2,17.389400482177734,0.048962999135255814,59125.46593749989
54,2459125.9389815,66.5914321,-10.0988256,1,17.894699096679688,0.05771400034427643,59125.43898149999
55,2459124.8666088,66.5914459,-10.0988309,2,17.361499786376953,0.051940999925136566,59124.3666087999
56,2459123.9187731,66.5914394,-10.0988095,1,17.695999145507812,0.05975300073623657,59123.41877309978
57,2459123.8585417,66.5914276,-10.0988226,2,17.344200134277344,0.050902001559734344,59123.35854170006
58,2459122.9074653,66.5914371,-10.0988138,1,17.579200744628906,0.04138199985027313,59122.40746530006
59,2459121.9229861,66.5914519,-10.0988114,1,17.535400390625,0.05086199939250946,59121.42298609996
60,2459119.9858449,66.5914388,-10.0988166,1,17.338899612426758,0.034651998430490494,59119.4858448999
