,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459143.6654282,275.8396213,20.5703461,1,17.563499450683594,0.04837799817323685,59143.165428199805
1,2459137.6338194,275.8395988,20.5703515,1,19.101699829101562,0.09331200271844864,59137.13381939987
2,2459137.6023611,275.8396072,20.5703251,2,19.00349998474121,0.08214599639177322,59137.102361099795
3,2459135.6400347,275.8395667,20.5703436,2,19.91349983215332,0.159838005900383,59135.14003469981
4,2459135.6090162,275.8396031,20.5703692,1,20.574100494384766,0.21547800302505493,59135.10901620006
5,2459131.6657176,275.8396123,20.5703067,1,19.67959976196289,0.13632699847221375,59131.16571759991
6,2459129.6863194,275.8396392,20.5703492,1,18.463499069213867,0.0798029974102974,59129.18631940009
7,2459129.6248843,275.8396187,20.5703278,2,18.476699829101562,0.05928599834442139,59129.124884299934
8,2459127.624919,275.8396257,20.5703276,2,19.63050079345703,0.19978900253772736,59127.12491900008
9,2459125.6728241,275.8396416,20.5703334,1,17.501399993896484,0.0531029999256134,59125.172824100126
14,2459118.7253125,275.8396429,20.5703102,2,20.285600662231445,0.257625013589859,59118.225312499795
20,2459115.7020255,275.8396225,20.570331,1,18.384300231933594,0.07220400124788284,59115.202025500126
21,2459115.6506829,275.8396351,20.5703428,2,18.431800842285156,0.061723001301288605,59115.1506829001
22,2459111.717037,275.8396138,20.5703369,2,16.78230094909668,0.042305998504161835,59111.21703700023
23,2459111.6329051,275.8396264,20.570336,1,16.725099563598633,0.051486000418663025,59111.13290510001
24,2459108.754375,275.8396459,20.5703489,1,16.430400848388672,0.043494999408721924,59108.25437500002
25,2459098.7022801,275.8396302,20.5703341,1,15.63759994506836,0.03145499899983406,59098.20228009997
26,2459098.6809259,275.8396188,20.5703338,2,15.839099884033203,0.027249999344348907,59098.18092590012
