,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459118.8531829,14.9830723,9.2565959,2,20.305700302124023,0.17688600718975067,59118.35318290023
1,2459118.7629051,14.9829951,9.2564545,2,20.493200302124023,0.2548539936542511,59118.262905099895
2,2459117.8538426,14.9829893,9.2565693,2,20.58169937133789,0.17346900701522827,59117.35384259978
3,2459116.86125,14.9830523,9.256585,2,20.45039939880371,0.1699250042438507,59116.361250000075
4,2459115.8297106,14.9829865,9.2565503,2,20.295299530029297,0.1723639965057373,59115.329710599966
5,2459113.8426157,14.983016,9.2565805,2,20.18829917907715,0.16084499657154083,59113.34261569986
6,2459112.8853009,14.9830352,9.256563,2,20.09830093383789,0.1291079968214035,59112.385300899856
7,2459112.8615162,14.9830451,9.2565409,2,20.286500930786133,0.13198600709438324,59112.361516200006
8,2459109.9084491,14.9830583,9.2565258,2,19.827699661254883,0.13697600364685059,59109.408449099865
9,2459109.8919444,14.9830524,9.2565025,2,19.87179946899414,0.14773699641227722,59109.391944400035
10,2459108.8888657,14.9830426,9.256562,2,19.912700653076172,0.13890600204467773,59108.38886569999
11,2459107.873831,14.9830254,9.256597,1,20.47960090637207,0.2380180060863495,59107.37383100018
12,2459106.8983218,14.9829018,9.2566384,1,20.366899490356445,0.25187599658966064,59106.398321799934
13,2459106.8720833,14.9831144,9.2566244,2,19.77790069580078,0.1753920018672943,59106.37208329979
14,2459104.9142014,14.9829868,9.2564884,2,19.713499069213867,0.17042000591754913,59104.41420139978
17,2459099.892338,14.9829511,9.2565308,1,19.986799240112305,0.27442601323127747,59099.39233799977
