,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459150.9657176,82.8770261,1.630873,2,19.894899368286133,0.14963200688362122,59150.46571760019
1,2459145.8576389,82.8770219,1.6308531,2,19.880399703979492,0.15126599371433258,59145.35763890017
2,2459143.9548958,82.8770379,1.6308781,2,19.8085994720459,0.16183100640773773,59143.45489579998
3,2459143.901794,82.8771015,1.6307822,1,21.087400436401367,0.3624649941921234,59143.40179400006
4,2459141.9240046,82.8771262,1.6308457,1,21.044300079345703,0.3212380111217499,59141.42400459992
5,2459141.8957639,82.8770318,1.6308865,2,19.685400009155273,0.14636099338531494,59141.39576390013
6,2459139.9215394,82.8770267,1.6308509,1,20.596500396728516,0.3865399956703186,59139.42153939977
7,2459136.9986111,82.8770222,1.6308551,2,19.448699951171875,0.1032550036907196,59136.49861110002
8,2459136.9432176,82.8769947,1.6309209,1,20.47260093688965,0.23445099592208862,59136.44321760023
9,2459134.9806019,82.8770464,1.6308862,2,19.45439910888672,0.15707199275493622,59134.48060189979
10,2459134.9131829,82.8771785,1.6310887,1,20.592300415039062,0.2865859866142273,59134.41318289982
13,2459126.9036574,82.8769827,1.6308365,2,19.318899154663086,0.15266799926757812,59126.40365740005
14,2459125.9818171,82.8770307,1.6309156,2,19.232799530029297,0.16424299776554108,59125.4818171002
15,2459125.9399769,82.8771247,1.6309595,1,19.75,0.3334139883518219,59125.439976899885
16,2459124.8642708,82.877013,1.6308963,2,19.400299072265625,0.2050209939479828,59124.36427079979
19,2459123.0014583,82.8769988,1.6308894,2,19.284400939941406,0.1499750018119812,59122.50145829981
22,2459120.0021875,82.8770437,1.6309084,1,19.97100067138672,0.16689099371433258,59119.50218749978
23,2459119.9616319,82.877018,1.6308742,2,19.427099227905273,0.11470700055360794,59119.461631900165
24,2459116.9198264,82.8770125,1.6309154,2,19.462400436401367,0.1189349964261055,59116.4198264
25,2459114.0031829,82.8770109,1.6308492,2,19.78459930419922,0.11571600288152695,59113.50318290014
26,2459113.8986574,82.8771443,1.6308421,1,20.043399810791016,0.2122350037097931,59113.39865740016
27,2459113.0189468,82.8770212,1.6308738,1,20.01180076599121,0.20244100689888,59112.518946799915
28,2459112.9833681,82.8770046,1.6308668,2,19.73699951171875,0.15070199966430664,59112.48336810013
29,2459111.8813194,82.8769258,1.6308406,1,20.143800735473633,0.30354800820350647,59111.38131939992
30,2459111.0203588,82.8770368,1.630731,1,20.284500122070312,0.29342201352119446,59110.52035879996
31,2459110.9846528,82.877002,1.6308986,2,19.952299118041992,0.1732179969549179,59110.48465280002
33,2459109.0095486,82.8771212,1.6308139,1,20.53230094909668,0.31964799761772156,59108.50954859983
34,2459108.9870486,82.8769157,1.6309316,2,20.399099349975586,0.2927300035953522,59108.48704859987
