,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459136.6922801,345.1710258,-12.1171111,2,20.136699676513672,0.17496100068092346,59136.19228010019
1,2459134.7308102,345.1710935,-12.1171747,1,20.18899917602539,0.18791800737380981,59134.230810199864
2,2459130.7682523,345.1710304,-12.1171499,2,19.852100372314453,0.14509400725364685,59130.2682523001
3,2459130.737338,345.1711395,-12.1171232,1,19.997699737548828,0.16233399510383606,59130.23733799998
4,2459128.7686574,345.1710727,-12.1171179,2,19.71820068359375,0.16904699802398682,59128.26865739981
5,2459126.799294,345.1711379,-12.1171168,2,19.633100509643555,0.20691199600696564,59126.299294000026
6,2459118.805625,345.1710165,-12.1171508,2,19.949499130249023,0.15383200347423553,59118.30562500004
7,2459117.8385301,345.1710427,-12.1171424,2,19.862300872802734,0.1532669961452484,59117.33853009995
8,2459117.8159028,345.1710789,-12.1171471,1,19.943300247192383,0.1651259958744049,59117.31590279983
9,2459114.8096759,345.1711137,-12.1171413,2,20.138099670410156,0.193339005112648,59114.3096758998
10,2459114.7478588,345.1710458,-12.1171228,1,20.161699295043945,0.16770599782466888,59114.247858799994
13,2459112.7735648,345.1711208,-12.1171495,1,20.514400482177734,0.2340719997882843,59112.273564800154
14,2459111.8308333,345.1710674,-12.1172463,1,20.59079933166504,0.2527469992637634,59111.33083330002
15,2459111.751713,345.1711521,-12.1171992,2,20.424400329589844,0.32819798588752747,59111.25171299977
