,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459144.7392708,25.6444187,22.0780914,2,20.157400131225586,0.1479090005159378,59144.23927079979
1,2459142.7871528,25.6444609,22.0780748,2,20.017799377441406,0.16986599564552307,59142.28715279978
2,2459142.7871528,25.6444609,22.0780748,2,20.017799377441406,0.16986599564552307,59142.28715279978
3,2459140.7968287,25.6445721,22.0779595,1,20.96969985961914,0.316101998090744,59140.29682870023
4,2459140.7624074,25.6443739,22.0780977,2,19.809799194335938,0.1292549967765808,59140.26240740018
5,2459138.8632292,25.6445899,22.0780018,1,20.813600540161133,0.30511900782585144,59138.36322919978
6,2459138.8224537,25.6443714,22.0780949,2,19.594900131225586,0.12014000117778778,59138.322453700006
7,2459136.8822222,25.6445582,22.078081,1,20.577199935913086,0.2654019892215729,59136.38222219981
8,2459136.8292824,25.6443969,22.0780927,2,19.484899520874023,0.10585399717092514,59136.3292824002
9,2459134.8294329,25.644387,22.0780821,2,19.462900161743164,0.13348400592803955,59134.329432900064
10,2459134.7654745,25.6444056,22.0779881,1,20.431299209594727,0.2501400113105774,59134.265474500135
11,2459131.9382292,25.6443462,22.0781056,2,18.982099533081055,0.2103240042924881,59131.438229199965
12,2459131.8333102,25.6443706,22.0780517,1,19.909500122070312,0.23513099551200867,59131.3333101999
13,2459129.8584838,25.6443034,22.0780026,1,20.009899139404297,0.2740209996700287,59129.3584838002
14,2459129.7650579,25.6443487,22.078072,2,19.120800018310547,0.14030399918556213,59129.26505789999
15,2459123.8806134,25.6444112,22.0780028,1,19.392900466918945,0.27877798676490784,59123.380613400135
16,2459122.7802431,25.6444012,22.0780891,1,19.526599884033203,0.3365919888019562,59122.28024310013
17,2459121.8060069,25.6443909,22.0780417,1,19.462200164794922,0.2059440016746521,59121.306006900035
18,2459120.7851505,25.6444371,22.0781134,1,19.656200408935547,0.2088710069656372,59120.285150500014
19,2459119.8399074,25.6443579,22.0780581,1,19.550199508666992,0.1470929980278015,59119.339907399844
20,2459118.8517824,25.644337,22.0780982,2,19.692100524902344,0.11614499986171722,59118.35178240016
21,2459118.7808565,25.6443632,22.0781088,2,19.61840057373047,0.12468700110912323,59118.280856499914
22,2459117.874919,25.6444169,22.0780989,2,19.941999435424805,0.11259999871253967,59117.37491900008
23,2459117.8040509,25.6444451,22.0780487,1,20.13159942626953,0.19630800187587738,59117.30405090004
24,2459115.9216551,25.6444353,22.0781096,1,20.515199661254883,0.26151999831199646,59115.42165509984
25,2459115.878669,25.6443561,22.0781251,2,20.50510025024414,0.2087710052728653,59115.37866900023
27,2459114.8245023,25.6447042,22.0779332,1,20.982099533081055,0.4400179982185364,59114.324502300005
