,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459143.9733681,138.0942696,48.9847432,2,20.23819923400879,0.16178199648857117,59143.47336809989
1,2459142.008044,138.0942924,48.9847241,2,20.375499725341797,0.17786100506782532,59141.508043999784
2,2459141.9530324,138.0943274,48.9847624,1,20.745800018310547,0.24864600598812103,59141.45303239999
3,2459140.0126968,138.0942821,48.9847701,2,19.982999801635742,0.17926399409770966,59139.51269679982
4,2459138.0080208,138.0941602,48.9846988,2,20.073999404907227,0.18165099620819092,59137.50802080007
5,2459137.9538426,138.0943466,48.984747,1,20.56130027770996,0.2793000042438507,59137.453842599876
6,2459135.9919213,138.094268,48.9847902,2,19.826799392700195,0.18081599473953247,59135.49192130007
7,2459131.0277315,138.0941877,48.9847675,2,19.6387996673584,0.19193899631500244,59130.5277315001
8,2459131.0063194,138.0944161,48.9846611,1,19.825000762939453,0.2669540047645569,59130.50631939992
9,2459129.0111227,138.0943374,48.9847434,2,19.663700103759766,0.1826220005750656,59128.51112269983
10,2459128.9545486,138.0940678,48.9846907,1,19.675600051879883,0.2533850073814392,59128.45454860013
11,2459127.0172338,138.0942409,48.9848496,2,19.597999572753906,0.18331299722194672,59126.51723380014
12,2459126.9692593,138.094346,48.9847278,1,19.82670021057129,0.31811898946762085,59126.4692592998
13,2459125.0120949,138.094339,48.9847743,1,19.250900268554688,0.19971199333667755,59124.51209490001
15,2459123.028912,138.0942413,48.9848266,2,19.711999893188477,0.17330199480056763,59122.52891199989
