,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459169.6476389,343.2985791,11.1134401,2,19.576099395751953,0.13121099770069122,59169.147638900205
1,2459167.6949306,343.2985739,11.1135058,2,19.543800354003906,0.09956199675798416,59167.1949306
2,2459157.8283218,343.2985216,11.1135376,2,19.27589988708496,0.17176799476146698,59157.3283218001
3,2459157.6951505,343.2985348,11.1134965,1,20.11400032043457,0.2273229956626892,59157.19515050016
4,2459155.6700579,343.2985364,11.1134672,1,19.888900756835938,0.2874920070171356,59155.170057899784
5,2459155.6138773,343.2985619,11.1135362,2,19.193199157714844,0.10108800232410431,59155.11387730017
6,2459153.693912,343.2985666,11.1135739,1,19.649499893188477,0.25854599475860596,59153.19391199993
7,2459153.6084491,343.2985491,11.1135387,2,19.2460994720459,0.13806700706481934,59153.10844910005
8,2459151.7605208,343.2985441,11.1135444,1,19.498600006103516,0.2598159909248352,59151.26052080002
10,2459149.7572338,343.2983342,11.1136531,1,19.1737003326416,0.27511000633239746,59149.2572337999
11,2459149.6921181,343.2985856,11.1135359,2,18.89299964904785,0.19104500114917755,59149.19211809989
13,2459146.6890278,343.2985593,11.1135175,2,18.730600357055664,0.09646899998188019,59146.189027800225
14,2459144.6861227,343.2985789,11.1135486,1,18.84630012512207,0.13823500275611877,59144.186122700106
15,2459140.726331,343.2985626,11.1135411,2,18.689599990844727,0.0719280019402504,59140.226331000216
16,2459140.6906829,343.298564,11.1135344,1,18.669700622558594,0.06705400347709656,59140.19068290014
17,2459138.7846875,343.2985705,11.1135263,2,18.612600326538086,0.08187200129032135,59138.28468749998
18,2459138.7123495,343.298585,11.11353,1,18.611099243164062,0.07713399827480316,59138.21234950004
19,2459136.7286806,343.2985713,11.1135224,1,18.70949935913086,0.07552000135183334,59136.22868059995
20,2459136.6936806,343.2985741,11.1135299,2,18.72410011291504,0.07121899724006653,59136.1936805998
21,2459134.7340856,343.2985812,11.1135211,1,18.81800079345703,0.07273799926042557,59134.23408559989
22,2459134.6958796,343.2985703,11.1135145,2,18.87619972229004,0.08246900141239166,59134.19587960001
23,2459131.7551968,343.2985788,11.1135483,1,19.034299850463867,0.09326700121164322,59131.25519679999
24,2459129.7942708,343.2985893,11.113585,1,19.472200393676758,0.14546500146389008,59129.29427079996
25,2459129.7228588,343.2985725,11.1135472,2,19.49340057373047,0.11405300348997116,59129.22285880009
