,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459177.9764815,120.877808,64.1091208,2,20.193099975585938,0.16512300074100494,59177.47648150008
1,2459176.9281481,120.8775727,64.1091145,2,20.153099060058594,0.19326899945735931,59176.42814810015
2,2459175.9962037,120.8775341,64.1091182,2,20.16950035095215,0.20784899592399597,59175.49620370008
3,2459171.9976852,120.87772,64.1090939,2,19.951099395751953,0.16929499804973602,59171.49768520007
4,2459170.014213,120.8776164,64.1090047,2,20.022600173950195,0.2517539858818054,59169.51421299996
5,2459169.9996759,120.8777692,64.1090776,1,20.814800262451172,0.3788979947566986,59169.49967590021
6,2459169.9977778,120.8775985,64.1091246,1,21.041000366210938,0.35463300347328186,59169.497777800076
7,2459168.0173264,120.8778241,64.1092024,1,20.780399322509766,0.3977400064468384,59167.51732640015
8,2459168.0154514,120.8771592,64.109218,1,20.640300750732422,0.3213669955730438,59167.515451400075
9,2459167.9918866,120.8775241,64.109097,2,20.055500030517578,0.18965600430965424,59167.49188659992
10,2459167.9624074,120.8775443,64.1091495,2,20.013599395751953,0.2488359957933426,59167.4624073999
11,2459165.9258449,120.8774571,64.1090488,2,19.82859992980957,0.1679210066795349,59165.425844899844
12,2459165.9134722,120.8776412,64.1091517,2,19.71380043029785,0.14463600516319275,59165.41347219981
13,2459165.8862269,120.8777163,64.1091394,1,20.578899383544922,0.22987499833106995,59165.38622689992
14,2459165.8702778,120.8777081,64.1091141,1,20.596399307250977,0.24550800025463104,59165.37027780013
15,2459160.0175926,120.8776915,64.1090978,1,19.798500061035156,0.14344699680805206,59159.51759260008
16,2459159.9743056,120.8777237,64.1091083,2,19.694799423217773,0.15829400718212128,59159.47430559993
17,2459159.9719444,120.8776463,64.1091078,2,19.542999267578125,0.16211099922657013,59159.47194440011
18,2459157.9732639,120.8777405,64.1090196,2,19.615800857543945,0.20232799649238586,59157.473263899796
19,2459157.9665162,120.8775755,64.1091409,2,19.48590087890625,0.17527399957180023,59157.46651619999
20,2459157.9098727,120.8778091,64.1091573,1,19.803199768066406,0.26101499795913696,59157.409872699995
21,2459155.9715625,120.8776596,64.109111,2,19.369600296020508,0.14601700007915497,59155.47156250011
22,2459155.9706019,120.8775688,64.1091438,2,19.472200393676758,0.1421229988336563,59155.470601900015
24,2459155.8685417,120.8776442,64.1090455,1,19.853700637817383,0.2710619866847992,59155.368541699834
25,2459153.9737847,120.8776252,64.1090989,2,19.187400817871094,0.13218900561332703,59153.473784700036
26,2459153.9254861,120.877393,64.1090282,1,19.527999877929688,0.34970399737358093,59153.425486099906
27,2459152.9695486,120.8775505,64.1092089,2,19.293100357055664,0.18067200481891632,59152.469548599795
28,2459152.868206,120.8775909,64.1090597,1,19.462600708007812,0.22340600192546844,59152.368205999956
29,2459151.9723611,120.8775729,64.1090937,1,19.39739990234375,0.1819390058517456,59151.472361099906
30,2459151.9475579,120.8775876,64.1091527,2,19.329099655151367,0.2160310000181198,59151.4475579001
32,2459150.9936574,120.8776741,64.1091169,2,19.191099166870117,0.0818450003862381,59150.4936573999
33,2459150.9459491,120.8776312,64.1091293,1,19.244600296020508,0.13261599838733673,59150.44594909996
34,2459149.9913194,120.8775604,64.1091163,1,19.200700759887695,0.09547799825668335,59149.49131939979
35,2459149.9640972,120.8774281,64.1091236,1,19.130300521850586,0.14519600570201874,59149.46409719996
36,2459149.8716551,120.877838,64.1090856,2,19.201499938964844,0.1615699976682663,59149.371655100025
37,2459149.8430324,120.8777271,64.1091394,2,19.142099380493164,0.1809149980545044,59149.343032400124
38,2459145.9967245,120.8776621,64.1091107,2,18.972900390625,0.07593800127506256,59145.496724499855
39,2459145.9519907,120.8775985,64.1090986,1,18.995100021362305,0.08544500172138214,59145.45199069986
40,2459145.9466782,120.8774547,64.1091312,1,19.020099639892578,0.12373699992895126,59145.446678199805
41,2459145.8857986,120.8775749,64.1091224,2,19.00510025024414,0.08489800244569778,59145.38579860004
42,2459143.9937153,120.877678,64.1091267,2,18.924400329589844,0.08547600358724594,59143.493715300225
43,2459143.9695602,120.8775792,64.1091436,2,18.96969985961914,0.07752600312232971,59143.46956019988
44,2459143.9276273,120.8776242,64.1091248,1,18.940900802612305,0.08595199882984161,59143.42762729991
45,2459143.9112847,120.8774838,64.1091066,1,18.993499755859375,0.0886560007929802,59143.411284700036
46,2459141.9492824,120.8776598,64.1091263,1,18.864999771118164,0.07307600229978561,59141.449282399844
47,2459141.9367477,120.8773922,64.1090975,1,18.962799072265625,0.10457400232553482,59141.436747699976
48,2459141.8687037,120.8777094,64.1091179,2,19.030099868774414,0.07808499783277512,59141.36870370014
49,2459141.8672222,120.8775478,64.1091346,2,18.862300872802734,0.15225400030612946,59141.36722220015
50,2459139.991713,120.8776469,64.1091106,2,18.99920082092285,0.0978889986872673,59139.491712999996
51,2459139.9320486,120.8775348,64.1090995,1,18.937299728393555,0.12544800341129303,59139.43204860017
52,2459139.9127546,120.8776777,64.1091196,1,18.7903995513916,0.1058569997549057,59139.412754599936
53,2459137.928912,120.8776248,64.1091309,1,18.92259979248047,0.09390100091695786,59137.4289119998
54,2459137.9284259,120.8775434,64.1091121,1,18.89889907836914,0.09846500307321548,59137.42842590017
55,2459137.8885648,120.8776684,64.109127,2,18.991500854492188,0.10257600247859955,59137.38856479991
56,2459137.8862153,120.8776587,64.1090992,2,19.097700119018555,0.10637900233268738,59137.38621529983
57,2459135.9507755,120.8776111,64.1091403,1,19.04330062866211,0.09387800097465515,59135.45077549992
58,2459135.9359491,120.8775536,64.1091103,1,19.016000747680664,0.11119399964809418,59135.43594910018
59,2459135.9119676,120.8776042,64.109123,2,19.111499786376953,0.0988370031118393,59135.41196760023
60,2459135.8810301,120.8777326,64.1091346,2,19.16230010986328,0.09841799736022949,59135.38103009993
62,2459131.8785301,120.8776493,64.1091744,1,19.42569923400879,0.26737600564956665,59131.37853009999
63,2459130.989294,120.8776965,64.109074,1,19.48200035095215,0.18341800570487976,59130.48929399997
64,2459130.9482986,120.8777415,64.1091203,2,19.754100799560547,0.15962600708007812,59130.44829860004
66,2459129.950162,120.877795,64.1092166,1,19.77090072631836,0.2172819972038269,59129.45016200002
