,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459179.6197222,330.0509892,-18.2266085,2,19.410499572753906,0.14210699498653412,59179.11972220009
4,2459172.6059606,330.0510103,-18.2265278,1,19.671499252319336,0.15177999436855316,59172.10596060008
6,2459170.6940278,330.0510959,-18.2266283,1,19.542999267578125,0.19641999900341034,59170.19402780011
8,2459170.6083565,330.0510036,-18.2265905,2,19.27669906616211,0.10974700003862381,59170.108356500044
10,2459168.6946296,330.050997,-18.2265892,1,19.399900436401367,0.17365199327468872,59168.194629599806
11,2459168.6775926,330.0509905,-18.2266155,2,19.289600372314453,0.14611999690532684,59168.17759260023
14,2459167.6921296,330.0510085,-18.2266131,2,19.161800384521484,0.1492539942264557,59167.19212959986
18,2459165.6486574,330.0510208,-18.2265891,1,19.108999252319336,0.1265069991350174,59165.14865740016
20,2459165.5844444,330.0509901,-18.2265907,2,19.082599639892578,0.10345400124788284,59165.08444439992
21,2459164.6473032,330.0509861,-18.2266502,2,19.023300170898438,0.1179099977016449,59164.14730319986
23,2459158.7086806,330.0510776,-18.2264892,1,19.120500564575195,0.21397000551223755,59158.20868059993
26,2459157.6691551,330.0510443,-18.2265747,1,18.96489906311035,0.1660670042037964,59157.169155099895
29,2459154.6944329,330.05096,-18.2265345,2,18.946800231933594,0.14546899497509003,59154.19443289982
31,2459153.6475,330.0510372,-18.2265217,1,18.824600219726562,0.15154500305652618,59153.14749999996
32,2459153.6061111,330.0509982,-18.2266027,2,18.923200607299805,0.1194780021905899,59153.10611109994
35,2459152.7355324,330.050945,-18.2265753,1,18.98040008544922,0.21925100684165955,59152.2355324002
36,2459152.7047917,330.0510113,-18.2265734,2,19.00749969482422,0.18164099752902985,59152.2047917
39,2459151.7112847,330.0510225,-18.2265548,2,19.13759994506836,0.22895599901676178,59151.21128469985
40,2459151.6651505,330.0509704,-18.2266154,1,18.829200744628906,0.1575479954481125,59151.1651504999
43,2459150.6898843,330.0508973,-18.2265606,2,19.194400787353516,0.26781898736953735,59150.18988429988
44,2459150.6699769,330.0510959,-18.2266145,1,18.979900360107422,0.1606680005788803,59150.169976899866
47,2459145.6895255,330.0510456,-18.2265811,1,19.383899688720703,0.13872599601745605,59145.18952549994
48,2459145.6489583,330.0509779,-18.226592,2,19.568599700927734,0.14761599898338318,59145.148958299775
49,2459143.728044,330.0509968,-18.2266391,2,19.928600311279297,0.15169699490070343,59143.22804399999
50,2459143.691331,330.051064,-18.2265531,1,19.712099075317383,0.1655369997024536,59143.19133100007
