,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459167.5934838,278.3850091,53.8113989,2,19.77440071105957,0.19736400246620178,59167.09348380007
1,2459164.6152431,278.3849456,53.8115545,2,19.660900115966797,0.16215500235557556,59164.115243100096
2,2459157.5917708,278.3849727,53.8115122,2,19.4424991607666,0.13003499805927277,59157.09177079983
3,2459155.591088,278.3849226,53.8115227,2,19.5049991607666,0.14426200091838837,59155.09108800022
4,2459153.6419097,278.3848929,53.8115605,1,19.684900283813477,0.1916159987449646,59153.14190969989
5,2459153.5964468,278.38497,53.8115734,2,19.501100540161133,0.17326000332832336,59153.096446800046
6,2459151.6532176,278.3848447,53.8113827,1,19.57740020751953,0.20342500507831573,59151.15321760019
7,2459151.5984028,278.3848723,53.8115487,2,19.56410026550293,0.15749700367450714,59151.09840280004
8,2459149.6766667,278.3849978,53.8116444,1,19.52429962158203,0.2572939991950989,59149.176666699816
9,2459149.6125347,278.3850699,53.8114083,2,19.550399780273438,0.2836419939994812,59149.11253469996
10,2459145.6989699,278.3848648,53.8115477,1,20.029800415039062,0.18757300078868866,59145.19896990014
11,2459145.6128935,278.3849764,53.8115894,2,19.69580078125,0.1260640025138855,59145.1128934999
12,2459143.6774769,278.3849309,53.8115385,1,20.258899688720703,0.2545579969882965,59143.177476900164
