,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459171.0067824,124.6195658,8.420314,2,20.106399536132812,0.20683400332927704,59170.506782399956
1,2459170.9628009,124.6195758,8.4203882,1,20.73509979248047,0.27098599076271057,59170.462800899986
2,2459168.9643981,124.6194737,8.4204205,1,20.786699295043945,0.3111479878425598,59168.46439810004
3,2459165.9614005,124.6195484,8.4204121,2,20.000499725341797,0.19013699889183044,59165.46140050003
4,2459165.9431597,124.6195077,8.4203868,1,20.111099243164062,0.16749200224876404,59165.443159699906
5,2459154.0088426,124.6194229,8.4203993,1,19.278200149536133,0.1631769984960556,59153.508842600044
6,2459152.0246875,124.6194458,8.4203446,2,20.014699935913086,0.22248399257659912,59151.524687500205
7,2459151.9694329,124.6194892,8.4203723,1,19.836599349975586,0.2333420068025589,59151.469432900194
8,2459151.0063657,124.6194973,8.4204448,1,19.941499710083008,0.18394799530506134,59150.50636570016
9,2459150.0160185,124.619425,8.4204321,1,20.036800384521484,0.2084289938211441,59149.516018500086
10,2459145.9635185,124.6195467,8.4203153,1,20.496400833129883,0.27504000067710876,59145.46351849986
11,2459144.0080093,124.6195684,8.42049,1,20.909400939941406,0.3003219962120056,59143.5080093001
