,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459196.0048843,169.632725,6.7413738,2,19.79520034790039,0.17347100377082825,59195.50488429982
1,2459194.0172338,169.6326347,6.7413547,2,19.791200637817383,0.13804300129413605,59193.51723380014
2,2459187.9846412,169.6327495,6.7412852,2,19.37529945373535,0.26023098826408386,59187.48464119993
3,2459186.0389468,169.6327005,6.7413226,2,19.34309959411621,0.14571699500083923,59185.538946799934
4,2459181.0441667,169.6326412,6.7413573,2,19.14419937133789,0.25097501277923584,59180.54416669998
5,2459179.0052778,169.6326715,6.7413233,1,20.100500106811523,0.17015400528907776,59178.50527779991
6,2459177.0192245,169.6326461,6.7413901,1,20.282899856567383,0.21127399802207947,59176.51922449982
8,2459173.9832176,169.6326783,6.7413253,1,20.20170021057129,0.2590619921684265,59173.4832175998
9,2459171.0459028,169.6326499,6.7413353,2,18.984100341796875,0.10397899895906448,59170.545902799815
10,2459170.9981366,169.6326289,6.7413779,1,20.10580062866211,0.1864980012178421,59170.498136600014
11,2459169.0409722,169.6326642,6.7413562,2,18.937599182128906,0.09042199701070786,59168.54097220022
12,2459169.0049769,169.6327101,6.7413811,1,20.075700759887695,0.1937510073184967,59168.50497689983
13,2459166.0315972,169.6326359,6.7413157,1,20.034799575805664,0.16304199397563934,59165.53159719985
14,2459165.9844444,169.6326597,6.7413388,2,18.912200927734375,0.09073500335216522,59165.48444439983
