,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459194.9098727,99.6701535,73.0740273,1,20.190399169921875,0.2157599925994873,59194.409872699995
1,2459194.8648264,99.6699017,73.0741308,2,20.251300811767578,0.2508470118045807,59194.36482639983
2,2459189.8417014,99.6700252,73.074134,2,19.962900161743164,0.18727299571037292,59189.3417014
3,2459187.9699884,99.6700506,73.0742495,2,19.360300064086914,0.19903600215911865,59187.46998840012
4,2459187.87375,99.6703306,73.0741269,1,19.653099060058594,0.23350299894809723,59187.373749999795
5,2459185.8663889,99.6701186,73.0741599,2,19.437700271606445,0.15602000057697296,59185.366388900205
7,2459183.7200463,99.6699378,73.0743714,1,19.451499938964844,0.36257699131965637,59183.220046299975
8,2459181.9008449,99.6700285,73.0740508,2,19.52389907836914,0.14466600120067596,59181.40084489994
9,2459181.7206366,99.6701249,73.0741214,1,19.521900177001953,0.2565470039844513,59181.22063660016
10,2459179.9770486,99.6698734,73.0741081,1,19.46109962463379,0.10973499715328217,59179.47704860009
11,2459179.8691667,99.669908,73.0739916,2,19.322099685668945,0.1541759967803955,59179.36916670017
12,2459176.9305787,99.6700234,73.0741274,2,19.335399627685547,0.10189799964427948,59176.4305786998
14,2459171.9082986,99.6698106,73.0741126,1,19.47570037841797,0.09913499653339386,59171.4082986
15,2459170.0131597,99.6700333,73.0741505,2,19.588899612426758,0.18853099644184113,59169.513159700204
16,2459169.9780208,99.6699428,73.0741268,1,19.56760025024414,0.12678800523281097,59169.47802079981
17,2459168.0145139,99.6701094,73.074088,1,19.636699676513672,0.14629800617694855,59167.51451390004
18,2459167.9989699,99.6697344,73.0741914,2,19.672100067138672,0.17193999886512756,59167.498969899956
19,2459165.8693403,99.6697635,73.0741033,1,19.972400665283203,0.11900900304317474,59165.369340300094
20,2459165.8457407,99.6699148,73.074128,2,19.995100021362305,0.12766100466251373,59165.34574070014
