,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459190.6152315,318.4972027,5.9059578,2,20.19099998474121,0.2074809968471527,59190.11523150001
2,2459187.5964236,318.4972935,5.9059341,1,20.510799407958984,0.36116600036621094,59187.09642359987
3,2459185.6421412,318.4972178,5.9059552,2,19.489900588989258,0.1978749930858612,59185.14214120014
4,2459185.6421412,318.4972178,5.9059552,2,19.489900588989258,0.1978749930858612,59185.14214120014
11,2459179.6015625,318.4972095,5.9059441,2,19.6387996673584,0.16519199311733246,59179.1015625
12,2459177.6118171,318.4970919,5.905915,1,19.849700927734375,0.3673369884490967,59177.111817100085
16,2459173.602419,318.4972219,5.9059637,2,19.491600036621094,0.11027400195598602,59173.10241900012
17,2459171.6517593,318.4972141,5.9060043,1,19.95709991455078,0.1887740045785904,59171.151759299915
18,2459171.60125,318.4971958,5.9059446,2,19.50429916381836,0.15036100149154663,59171.10124999983
19,2459169.6300347,318.4971859,5.9059762,2,19.277700424194336,0.16259099543094635,59169.130034700036
20,2459169.6075231,318.4972792,5.9060092,1,19.907100677490234,0.17599700391292572,59169.107523099985
21,2459167.6649537,318.4970318,5.9060296,1,19.837499618530273,0.2667340040206909,59167.1649536998
22,2459167.6087963,318.4971958,5.9059648,2,19.486099243164062,0.139723002910614,59167.1087962999
23,2459164.6299306,318.4972345,5.9059745,2,19.781999588012695,0.1980849951505661,59164.12993060006
