,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459188.6120602,342.2663332,20.674401,2,19.91990089416504,0.2071409970521927,59188.11206019996
2,2459186.6122454,342.2664045,20.6743873,2,19.545400619506836,0.14901100099086761,59186.11224539997
5,2459182.6852778,342.2664,20.6744133,2,19.346500396728516,0.1353899985551834,59182.185277800076
13,2459173.7069213,342.2664121,20.674401,1,19.54829978942871,0.135453999042511,59173.20692129992
14,2459173.6098727,342.2664001,20.6743479,2,19.131399154663086,0.08730000257492065,59173.10987270018
15,2459171.6749884,342.2664301,20.6743931,1,19.507600784301758,0.11078000068664551,59171.17498840019
16,2459171.6247338,342.2664162,20.6743839,2,19.249500274658203,0.08930099755525589,59171.12473380007
17,2459169.7261111,342.266383,20.6744103,1,19.625499725341797,0.13351400196552277,59169.226111100055
18,2459169.6865625,342.2664204,20.6743706,2,19.334800720214844,0.10429699718952179,59169.18656249996
19,2459167.7138542,342.2663768,20.6744124,2,19.540199279785156,0.14574599266052246,59167.21385420021
20,2459167.6740741,342.2664178,20.6743606,1,19.774999618530273,0.1496420055627823,59167.174074099865
22,2459164.6533912,342.2663927,20.6743992,2,19.729900360107422,0.13878600299358368,59164.15339120012
