,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459202.698831,9.8753039,40.5169427,1,20.294099807739258,0.16503800451755524,59202.1988309999
1,2459202.6354861,9.8753133,40.5168895,2,20.367300033569336,0.17615200579166412,59202.13548609987
2,2459195.7155903,9.8752568,40.51689,2,19.982799530029297,0.11987899988889694,59195.21559030004
3,2459195.6729167,9.8753685,40.5169548,1,20.639799118041992,0.19776000082492828,59195.17291670013
5,2459193.677338,9.8753057,40.5169809,1,20.392499923706055,0.19952699542045593,59193.17733799992
7,2459190.6351389,9.8751901,40.5169018,2,19.398700714111328,0.19191400706768036,59190.13513890002
8,2459188.7441898,9.8752881,40.5169194,2,19.4237003326416,0.13660800457000732,59188.24418980023
9,2459188.681331,9.8753222,40.5168659,1,20.340499877929688,0.24514199793338776,59188.181330999825
15,2459182.6178704,9.8752853,40.5169142,2,18.78569984436035,0.11529500037431717,59182.117870400194
16,2459180.7435648,9.8751799,40.5168167,2,18.852500915527344,0.21977099776268005,59180.243564799894
17,2459180.65,9.8754659,40.5170658,1,19.27829933166504,0.21466399729251862,59180.14999999991
18,2459178.6812616,9.8752779,40.5169067,1,19.01799964904785,0.08801499754190445,59178.181261599995
19,2459176.7249421,9.8752415,40.5169363,1,19.24720001220703,0.17206299304962158,59176.22494209977
26,2459170.6412616,9.8752826,40.5169112,2,18.512399673461914,0.049639999866485596,59170.14126159996
27,2459168.7260532,9.8752898,40.5168988,1,18.886899948120117,0.061581000685691833,59168.2260532002
30,2459164.8051389,9.8752813,40.516921,2,18.307100296020508,0.060766998678445816,59164.305138899945
