,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459253.0044792,264.5276996,11.3087609,2,19.75909996032715,0.1723950058221817,59252.50447920011
1,2459251.0431944,264.5277404,11.3087326,2,19.67140007019043,0.19350400567054749,59250.54319440015
2,2459249.042338,264.5277633,11.3087901,2,19.609899520874023,0.1554509997367859,59248.542338000145
3,2459233.0782176,264.5276823,11.308764,2,18.937000274658203,0.1958879977464676,59232.57821760001
4,2459233.0758102,264.5276434,11.3087945,2,19.030399322509766,0.14471100270748138,59232.57581020007
5,2459233.0734028,264.5276466,11.3087804,2,19.098100662231445,0.18779000639915466,59232.57340280013
6,2459233.0709954,264.5276991,11.3087775,2,18.974700927734375,0.11598800122737885,59232.570995400194
7,2459232.0784838,264.5276384,11.3087916,2,18.94029998779297,0.18194100260734558,59231.57848379994
8,2459232.0760648,264.5276959,11.308777,2,18.856199264526367,0.1520570069551468,59231.57606479991
9,2459232.0736574,264.5276675,11.308803,2,18.96190071105957,0.1329530030488968,59231.573657399975
10,2459232.0712616,264.5276331,11.3087516,2,18.941600799560547,0.13239699602127075,59231.571261600126
11,2459231.0683796,264.5276621,11.3087258,2,18.939899444580078,0.10225900262594223,59230.56837960007
12,2459231.0660417,264.5277205,11.3087928,2,18.969999313354492,0.10769400000572205,59230.566041700076
13,2459231.0637037,264.5276737,11.3087617,2,18.933399200439453,0.11333800107240677,59230.56370369997
14,2459231.0590278,264.5276311,11.3088152,2,19.093399047851562,0.12480700016021729,59230.55902779987
15,2459229.0776389,264.5276883,11.3087796,2,18.81599998474121,0.11666899919509888,59228.57763889991
16,2459229.0752315,264.5276944,11.3087,2,18.81450080871582,0.12218499928712845,59228.57523149997
17,2459229.0728241,264.5276508,11.3087892,2,18.791500091552734,0.1178319975733757,59228.57282410003
18,2459229.0704051,264.5276566,11.3087596,2,18.85770034790039,0.12471199780702591,59228.57040510001
19,2459228.066088,264.5277024,11.3086725,2,18.702800750732422,0.14195500314235687,59227.56608799985
20,2459228.0636343,264.5277338,11.3087057,2,18.843299865722656,0.1387079954147339,59227.56363430014
21,2459228.0611806,264.5276868,11.3087663,2,18.807199478149414,0.09651699662208557,59227.561180599965
22,2459228.0587269,264.5276691,11.3087492,2,18.902099609375,0.13420000672340393,59227.55872689979
23,2459227.0753356,264.5277634,11.3088781,2,18.822099685668945,0.19221800565719604,59226.57533559995
24,2459227.072963,264.5276142,11.3087623,2,18.671899795532227,0.1345140039920807,59226.57296299981
25,2459227.0705787,264.527662,11.308763,2,18.723400115966797,0.12394200265407562,59226.57057869993
26,2459225.0700694,264.52765,11.3087424,2,18.6112003326416,0.17089000344276428,59224.57006940013
27,2459225.0676273,264.5276474,11.3086825,2,18.67530059814453,0.16365300118923187,59224.56762730004
28,2459225.0651736,264.5277316,11.3087401,2,18.618600845336914,0.1381240040063858,59224.56517359987
29,2459225.0627315,264.5276253,11.308676,2,18.60610008239746,0.11857999861240387,59224.562731499784
30,2459225.0602778,264.5276703,11.3086905,2,18.690799713134766,0.14079399406909943,59224.560277800076
31,2459224.0685995,264.5276854,11.3086977,2,18.583900451660156,0.1162249967455864,59223.56859950023
32,2459224.0662616,264.5276999,11.3087508,2,18.496400833129883,0.10379499942064285,59223.56626159977
33,2459224.0639236,264.5276636,11.3086914,2,18.569700241088867,0.12122700363397598,59223.56392360013
34,2459224.0615856,264.5277219,11.3087637,2,18.607900619506836,0.13634300231933594,59223.56158560002
35,2459224.0592477,264.527685,11.3087678,2,18.492700576782227,0.14442400634288788,59223.55924770003
38,2459223.0687037,264.527625,11.3087543,2,18.447500228881836,0.2174690067768097,59222.56870369986
