,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459199.024919,175.7392532,2.0982613,1,20.130699157714844,0.2085919976234436,59198.52491899999
1,2459198.9842477,175.7393518,2.0984103,2,19.88319969177246,0.21375399827957153,59198.484247699846
2,2459196.0271065,175.7393795,2.0984328,1,19.802499771118164,0.2657710015773773,59195.52710650023
3,2459196.0053472,175.7393733,2.0984195,2,19.67329978942871,0.21461200714111328,59195.505347200204
4,2459194.0384491,175.7392158,2.0984562,2,19.606399536132812,0.16606199741363525,59193.53844910022
5,2459193.9784491,175.7392645,2.0983251,1,19.751300811767578,0.2040189951658249,59193.47844910016
6,2459189.0088426,175.7392808,2.0983624,2,19.45170021057129,0.17103399336338043,59188.508842600044
7,2459185.0020139,175.7393721,2.0983769,2,19.293100357055664,0.19065499305725098,59184.50201389985
8,2459180.0256366,175.7393116,2.0983833,2,19.54990005493164,0.15166999399662018,59179.525636599865
9,2459177.0620602,175.7392376,2.0983734,2,19.81439971923828,0.30667901039123535,59176.56206020014
10,2459177.018287,175.739325,2.0984089,1,19.80579948425293,0.18115299940109253,59176.51828699978
