,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459199.6121759,327.9635717,9.0196442,2,19.422199249267578,0.14342600107192993,59199.11217590002
1,2459197.5979514,327.9634862,9.0196979,1,19.82110023498535,0.374765008687973,59197.097951400094
2,2459194.6196528,327.9635249,9.0196712,2,19.267000198364258,0.13199399411678314,59194.119652799796
3,2459194.5978009,327.9635296,9.0196255,1,19.489500045776367,0.1292179971933365,59194.09780090023
4,2459189.7011343,327.9635496,9.0196922,2,19.340700149536133,0.15999099612236023,59189.20113429986
5,2459187.6806713,327.9634694,9.0196293,2,18.998699188232422,0.16919399797916412,59187.18067129981
6,2459187.6187037,327.9635982,9.0195982,1,19.128299713134766,0.11393900215625763,59187.11870370014
7,2459185.629537,327.9635653,9.0196153,2,19.195499420166016,0.13673000037670135,59185.129536999855
8,2459185.629537,327.9635653,9.0196153,2,19.195499420166016,0.13673000037670135,59185.129536999855
9,2459183.6348495,327.9634925,9.0196787,1,19.144899368286133,0.1579049974679947,59183.13484949991
10,2459183.5724421,327.9635316,9.0196949,2,19.34869956970215,0.1773570030927658,59183.07244209992
11,2459181.6285301,327.9635205,9.0196886,1,19.188199996948242,0.1421860009431839,59181.12853009999
12,2459179.6311343,327.9635987,9.019636,1,19.254899978637695,0.12213899940252304,59179.13113430003
13,2459177.5896181,327.9635968,9.0197006,2,19.51289939880371,0.14446599781513214,59177.08961809985
16,2459173.6136227,327.9635584,9.0195848,2,20.43239974975586,0.2288540005683899,59173.113622699864
