,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459195.7431944,22.6590942,4.349394,1,20.00830078125,0.1986829936504364,59195.24319439987
1,2459195.6949421,22.6590936,4.3494123,2,20.012699127197266,0.14674000442028046,59195.19494209997
2,2459195.682662,22.6589569,4.3493614,1,20.066099166870117,0.1948859989643097,59195.18266199995
3,2459193.7279051,22.6590557,4.3493585,2,19.83289909362793,0.18804000318050385,59193.22790510021
4,2459193.7171875,22.6589975,4.3496031,2,19.8031005859375,0.18037700653076172,59193.21718750009
5,2459193.7062153,22.6590263,4.3493848,1,20.106000900268555,0.24848900735378265,59193.20621530013
6,2459193.6835532,22.6589738,4.3494237,1,19.802200317382812,0.17244400084018707,59193.183553200215
7,2459190.6526042,22.6590381,4.3493948,2,19.800899505615234,0.19109800457954407,59190.152604199946
8,2459189.6544907,22.6591272,4.3494145,1,19.713600158691406,0.24831700325012207,59189.15449069999
9,2459188.7380556,22.659088,4.3495186,2,19.907499313354492,0.23995600640773773,59188.23805559985
10,2459188.6952894,22.6590508,4.3492939,1,20.14929962158203,0.2542789876461029,59188.19528939994
11,2459187.6849884,22.6591099,4.3494131,2,19.78580093383789,0.20595000684261322,59187.18498839997
12,2459187.6086343,22.658994,4.3493109,1,20.00909996032715,0.20237700641155243,59187.108634300064
16,2459185.6721759,22.659077,4.3493702,1,19.757400512695312,0.389055997133255,59185.17217590008
