,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459220.6123264,0.7579875,53.8913579,2,20.072599411010742,0.18179599940776825,59220.11232639989
1,2459218.6401157,0.7579182,53.8913679,2,19.9242000579834,0.17266599833965302,59218.1401157002
2,2459204.720463,0.7579895,53.8913291,1,19.51409912109375,0.17287899553775787,59204.22046299977
3,2459204.6602778,0.7579538,53.8913189,2,18.793800354003906,0.09126199781894684,59204.16027780017
4,2459202.6763657,0.7580321,53.8913351,1,19.322599411010742,0.11801400035619736,59202.176365700085
5,2459202.6373958,0.7579462,53.8913326,2,18.69230079650879,0.08273100107908249,59202.13739580009
6,2459199.6992014,0.757989,53.8913253,1,19.033199310302734,0.09316200017929077,59199.199201399926
7,2459199.6337731,0.758031,53.8913231,2,18.688800811767578,0.08883199840784073,59199.1337731001
8,2459197.7008102,0.7579164,53.8913972,2,18.693899154663086,0.1337900012731552,59197.20081020007
9,2459195.6573843,0.7579764,53.8913142,1,19.125699996948242,0.08443000167608261,59195.15738430014
10,2459195.6166782,0.7579646,53.891341,2,18.74920082092285,0.10076499730348587,59195.1166782002
11,2459193.7487963,0.7579326,53.8913665,2,19.10409927368164,0.10639200359582901,59193.24879630003
12,2459193.6614699,0.7579305,53.8913443,1,19.36009979248047,0.1568319946527481,59193.16146990005
15,2459188.6568634,0.7578992,53.8913959,1,20.670299530029297,0.21935699880123138,59188.15686339978
