,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459256.6535069,18.4852151,19.5249229,2,19.898229598999023,0.17086699604988098,59256.153506900184
1,2459254.6734144,18.4851381,19.5248811,2,19.870100021362305,0.16597899794578552,59254.17341439985
3,2459250.6852315,18.4850622,19.5249029,2,19.57159996032715,0.21559399366378784,59250.18523149984
4,2459248.6429745,18.4852213,19.5248634,1,20.77589988708496,0.32110801339149475,59248.14297450008
5,2459232.6310417,18.485138,19.5249146,2,19.047300338745117,0.09793899953365326,59232.13104170002
6,2459232.6153935,18.4851688,19.5248768,1,19.361000061035156,0.11135900020599365,59232.115393499844
7,2459230.6489815,18.4851972,19.5248294,1,19.43440055847168,0.13987000286579132,59230.14898149995
8,2459230.6229977,18.4851332,19.5248913,2,18.943500518798828,0.08006399869918823,59230.12299769977
9,2459228.6543866,18.4851645,19.524867,1,19.0393009185791,0.13863100111484528,59228.154386600014
10,2459228.6131481,18.4851543,19.5248985,2,18.82069969177246,0.1073400005698204,59228.11314810021
11,2459226.6760185,18.4851448,19.5248766,1,18.864700317382812,0.14920499920845032,59226.17601849977
12,2459226.6115741,18.4851633,19.524855,2,18.726200103759766,0.07903999835252762,59226.111574099865
13,2459224.6617014,18.4852304,19.5248645,1,18.754600524902344,0.12608599662780762,59224.16170139983
14,2459224.620162,18.485159,19.5249052,2,18.61549949645996,0.07042299956083298,59224.12016199995
15,2459222.7487963,18.4851581,19.52491,1,18.659500122070312,0.09514400362968445,59222.24879630003
16,2459220.6315162,18.4851671,19.5248933,1,18.54129981994629,0.07182999700307846,59220.131516200025
17,2459220.6210069,18.4851727,19.5248728,2,18.462499618530273,0.053084999322891235,59220.12100689998
18,2459218.6462731,18.4851504,19.5248829,2,18.385400772094727,0.050234999507665634,59218.14627309982
19,2459218.6114005,18.4851857,19.5248753,1,18.41069984436035,0.0822409987449646,59218.11140049994
20,2459216.6512731,18.4851633,19.5249024,1,18.30900001525879,0.07694099843502045,59216.15127310017
21,2459216.6111806,18.4851518,19.5248509,2,18.340900421142578,0.08066000044345856,59216.11118059978
22,2459210.6955787,18.4851513,19.5248539,1,18.308700561523438,0.09292799979448318,59210.19557869993
24,2459204.725787,18.4852269,19.5248838,1,18.886199951171875,0.10702899843454361,59204.2257869998
25,2459204.684456,18.4851536,19.5249217,2,19.026899337768555,0.08478300273418427,59204.184456000105
26,2459202.6964468,18.4851973,19.5248454,1,19.29599952697754,0.1300240010023117,59202.19644680014
27,2459202.6448727,18.4851306,19.5248623,2,19.407100677490234,0.10831999778747559,59202.144872699864
28,2459199.703912,18.4853077,19.5248738,1,20.336999893188477,0.22240500152111053,59199.20391200017
