,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459233.7677083,119.7925664,68.1075149,2,20.196399688720703,0.17126399278640747,59233.26770830015
1,2459231.8042361,119.7928375,68.1074453,2,19.91390037536621,0.21939200162887573,59231.304236100055
2,2459231.7632523,119.7927742,68.1074493,1,20.072900772094727,0.23048600554466248,59231.26325230021
3,2459229.8063194,119.792654,68.1073787,1,20.098100662231445,0.26496800780296326,59229.3063194002
4,2459229.7639583,119.7923924,68.1072446,2,19.689599990844727,0.25382599234580994,59229.2639583
5,2459227.8030208,119.7928962,68.1074785,2,19.808799743652344,0.17087200284004211,59227.3030208
6,2459225.8435301,119.7928575,68.1074536,1,19.955900192260742,0.1454389989376068,59225.34353009984
7,2459225.7017014,119.7928584,68.1074736,1,19.815399169921875,0.22753199934959412,59225.20170139987
8,2459223.8465625,119.7928728,68.1074291,1,19.87809944152832,0.145796999335289,59223.34656250011
9,2459223.8294329,119.7926978,68.1074369,1,19.760099411010742,0.12745599448680878,59223.329432900064
10,2459223.8034954,119.7928235,68.1074158,2,19.733999252319336,0.13893499970436096,59223.30349540012
11,2459221.850081,119.7928728,68.1074413,1,19.842899322509766,0.15752600133419037,59221.35008100001
12,2459221.8276157,119.7927745,68.1074508,1,19.86079978942871,0.13721999526023865,59221.3276157002
13,2459221.7417824,119.7929424,68.1074592,2,19.72319984436035,0.153205007314682,59221.241782399826
15,2459219.8250579,119.7928965,68.1074285,2,19.723400115966797,0.15986299514770508,59219.325057900045
16,2459217.930544,119.7930999,68.1074105,1,19.722200393676758,0.21856500208377838,59217.43054400012
17,2459217.8524074,119.7928912,68.1073896,2,19.84950065612793,0.2154030054807663,59217.35240740003
20,2459215.9277662,119.7930072,68.1073589,1,19.662900924682617,0.4429520070552826,59215.427766200155
29,2459204.8803819,119.7928688,68.1074474,2,20.328699111938477,0.15324899554252625,59204.380381899886
30,2459204.8403588,119.7925962,68.1074783,1,20.3799991607666,0.1931619942188263,59204.34035879979
31,2459202.9912153,119.7930311,68.1074983,1,20.60610008239746,0.24711599946022034,59202.491215299815
33,2459202.8842014,119.7930567,68.1075863,2,20.285600662231445,0.2600589990615845,59202.38420139998
34,2459202.865463,119.7925787,68.1074151,1,20.27199935913086,0.26660001277923584,59202.36546299979
35,2459199.9315278,119.7931246,68.1074349,1,20.42639923095703,0.223690003156662,59199.43152779993
38,2459199.8498727,119.7930895,68.1073744,1,20.62969970703125,0.2883549928665161,59199.34987269994
40,2459196.9362963,119.792926,68.1073136,1,20.58799934387207,0.2691180109977722,59196.43629630003
