,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459254.8771296,140.4967512,-7.5544061,2,20.347400665283203,0.20918899774551392,59254.37712959992
1,2459254.7929861,140.4971181,-7.5543243,1,20.965700149536133,0.3270919919013977,59254.292986100074
2,2459252.7955093,140.4967809,-7.5543906,2,20.290800094604492,0.21706700325012207,59252.295509300195
3,2459250.8359722,140.4967852,-7.5545342,2,20.107099533081055,0.21315300464630127,59250.33597220015
5,2459248.8618866,140.4968318,-7.5544979,2,20.18429946899414,0.25526800751686096,59248.36188660003
6,2459248.7728588,140.4968699,-7.5544187,1,20.810100555419922,0.36803001165390015,59248.2728587999
7,2459232.9026389,140.4967685,-7.5544024,2,19.724199295043945,0.13494199514389038,59232.402638900094
8,2459232.8629282,140.4967949,-7.5543637,1,19.767900466918945,0.126227006316185,59232.36292820005
9,2459230.925625,140.4968191,-7.5543371,2,19.536100387573242,0.16178399324417114,59230.42562500015
10,2459228.9426736,140.4967736,-7.5543833,2,19.46660041809082,0.1327359974384308,59228.44267359981
11,2459228.8766204,140.4967547,-7.5543729,1,19.465700149536133,0.11209499835968018,59228.37662040023
12,2459226.9134491,140.4967413,-7.5543806,2,19.419599533081055,0.1478780061006546,59226.41344910022
13,2459226.8806829,140.4968581,-7.5543397,1,19.28420066833496,0.1185540035367012,59226.38068290008
14,2459224.9184144,140.4967544,-7.5543875,1,19.345800399780273,0.14051899313926697,59224.41841439996
15,2459224.8731134,140.496691,-7.5544739,2,19.61720085144043,0.19286899268627167,59224.37311339984
16,2459222.8773148,140.4967831,-7.5543877,1,19.341299057006836,0.1007080003619194,59222.37731479993
17,2459222.8544676,140.4967701,-7.5543713,2,19.68950080871582,0.1391959935426712,59222.35446760012
