,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459232.9320139,170.3460142,66.0657466,1,19.808700561523438,0.11828400194644928,59232.43201390002
1,2459232.9137384,170.3460255,66.0657525,2,19.79669952392578,0.15556900203227997,59232.41373840021
2,2459230.9586458,170.3459659,66.0657477,2,19.642000198364258,0.1345680058002472,59230.45864580013
3,2459228.9889352,170.3460823,66.0657209,2,19.597000122070312,0.12878000736236572,59228.48893520003
4,2459228.8973032,170.3459692,66.0657322,1,19.68829917907715,0.13695299625396729,59228.39730319986
5,2459226.9909259,170.3460848,66.0656817,2,19.705400466918945,0.1414099931716919,59226.49092590017
6,2459226.9546875,170.3459836,66.0656867,1,19.581499099731445,0.14303000271320343,59226.45468749991
7,2459224.9933102,170.3459604,66.0657119,2,19.549400329589844,0.14205899834632874,59224.49331020005
8,2459224.9522685,170.3458995,66.0657662,1,19.5935001373291,0.14710499346256256,59224.45226849988
9,2459222.9435417,170.3458712,66.0657172,2,19.652099609375,0.13808900117874146,59222.44354170002
10,2459222.8935764,170.3459409,66.0657634,1,19.534799575805664,0.09999299794435501,59222.39357639989
13,2459218.9503588,170.3459874,66.0657648,2,20.075599670410156,0.2509480118751526,59218.450358800124
