,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459271.958125,223.5335887,2.9795048,2,19.28244972229004,0.16606800258159637,59271.45812499989
1,2459269.8942245,223.5335597,2.9795217,2,19.108999252319336,0.12281499803066254,59269.39422449982
2,2459267.9170833,223.5336272,2.9795971,2,19.081300735473633,0.11766800284385681,59267.417083300184
3,2459265.9225926,223.5335273,2.9794977,1,20.14080047607422,0.27090099453926086,59265.422592599876
4,2459265.8593171,223.5335619,2.9794005,2,19.01490020751953,0.1566230058670044,59265.35931710014
5,2459264.0191898,223.5335334,2.9794561,1,19.6427001953125,0.19450800120830536,59263.519189800136
6,2459263.978912,223.5337481,2.9794145,2,19.0575008392334,0.16220200061798096,59263.47891200008
7,2459260.9052894,223.533609,2.9795465,2,19.14430046081543,0.16675999760627747,59260.4052893999
8,2459257.0098843,223.5335564,2.9795305,1,19.115800857543945,0.10964199900627136,59256.509884300176
9,2459255.0268403,223.5335645,2.9795208,1,18.947599411010742,0.08812399953603745,59254.52684029983
10,2459254.9285185,223.5336049,2.9795304,2,18.526899337768555,0.13325299322605133,59254.42851850018
11,2459253.0255324,223.5335445,2.9795296,1,18.792800903320312,0.08997800201177597,59252.52553239977
12,2459253.0169907,223.5335588,2.9795041,2,18.65959930419922,0.06808099895715714,59252.516990699805
14,2459250.9260532,223.5335452,2.9795271,2,18.59160041809082,0.10955999791622162,59250.42605319992
15,2459249.0031944,223.5335281,2.9795213,1,18.450700759887695,0.08560299873352051,59248.50319440011
17,2459232.0485532,223.5335071,2.9795364,1,18.92930030822754,0.09250599890947342,59231.54855319997
18,2459232.0403125,223.5335832,2.9794873,2,19.106000900268555,0.1292240023612976,59231.540312500205
19,2459229.0190856,223.5335471,2.9794976,1,19.796899795532227,0.15932799875736237,59228.51908560004
20,2459228.9985069,223.5335238,2.9795131,2,19.588199615478516,0.24042600393295288,59228.49850689992
