,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459256.6497569,30.1063803,-6.0741761,2,19.941240310668945,0.18749399483203888,59256.149756900035
1,2459256.6306019,30.1063597,-6.0742564,1,20.061439514160156,0.18909099698066711,59256.130601900164
2,2459254.6507176,30.1063877,-6.0742767,2,19.730499267578125,0.14459499716758728,59254.15071759978
3,2459254.6304398,30.1063961,-6.0742924,1,19.837499618530273,0.18417400121688843,59254.13043980021
4,2459252.6498264,30.106382,-6.0742988,2,19.68950080871582,0.1802629977464676,59252.14982639998
5,2459252.6300463,30.1063124,-6.0742468,1,19.54210090637207,0.15731699764728546,59252.130046300124
6,2459250.6666435,30.1063793,-6.0740575,2,19.298099517822266,0.2110469937324524,59250.16664349986
7,2459250.6303819,30.1063845,-6.0742753,1,19.464599609375,0.14468799531459808,59250.130381899886
8,2459248.62875,30.1063829,-6.0742997,1,19.503599166870117,0.1725900024175644,59248.12875000015
9,2459232.628206,30.1063283,-6.0742814,2,19.70479965209961,0.14171800017356873,59232.1282060002
10,2459232.6139699,30.1063407,-6.0742676,1,19.573400497436523,0.13080400228500366,59232.11396990018
11,2459230.6661111,30.1063117,-6.0743188,1,19.90489959716797,0.2094690054655075,59230.1661111
12,2459228.6731019,30.1062032,-6.074339,1,20.200899124145508,0.2761929929256439,59228.173101900145
