,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459316.6754398,127.2488067,12.4193789,2,20.203990936279297,0.16609199345111847,59316.175439800136
1,2459314.7151042,127.248853,12.4192306,1,20.426799774169922,0.27717098593711853,59314.215104199946
2,2459314.6867477,127.2488344,12.4193488,2,20.180700302124023,0.22598899900913239,59314.186747699976
3,2459312.7125347,127.2489001,12.4193862,1,20.54050064086914,0.27208301424980164,59312.212534700055
4,2459312.6701736,127.2489051,12.4193902,2,19.982900619506836,0.18657100200653076,59312.17017359985
5,2459310.7209259,127.2490482,12.419379,1,20.25510025024414,0.3540639877319336,59310.220925900154
6,2459308.7494792,127.2488895,12.4193766,1,20.22480010986328,0.22200700640678406,59308.249479200225
7,2459308.6956366,127.2488128,12.4193846,2,19.90489959716797,0.16423000395298004,59308.19563659979
8,2459306.6924074,127.2488387,12.4193629,2,19.90489959716797,0.1505959928035736,59306.19240739988
9,2459306.6847685,127.2489386,12.4194238,1,20.067899703979492,0.18698899447917938,59306.18476849981
10,2459303.7403935,127.2488012,12.4194016,2,19.64389991760254,0.2579280138015747,59303.240393499844
15,2459294.7260301,127.2488339,12.4193627,2,19.36709976196289,0.15104199945926666,59294.22603010014
16,2459294.6687384,127.2488426,12.4193824,1,19.589799880981445,0.2141830027103424,59294.1687384001
17,2459292.7656829,127.2488008,12.4193973,1,19.636499404907227,0.19849300384521484,59292.26568289986
18,2459292.7110185,127.2488006,12.4193862,2,19.3080997467041,0.12571300566196442,59292.21101849992
19,2459290.7358565,127.2488158,12.4193844,2,19.12310028076172,0.09260500222444534,59290.23585649999
20,2459290.7125,127.2488555,12.4193552,1,19.43000030517578,0.11078000068664551,59290.21249999991
21,2459280.7546991,127.2488343,12.4193764,2,18.707399368286133,0.08558399975299835,59280.25469909981
22,2459280.7546991,127.2488343,12.4193764,2,18.707399368286133,0.08558399975299835,59280.25469909981
23,2459280.7204167,127.2488667,12.4193541,1,18.978200912475586,0.09132999926805496,59280.2204167
24,2459280.7204167,127.2488667,12.4193541,1,18.978200912475586,0.09132999926805496,59280.2204167
25,2459276.7761111,127.2488352,12.4193766,2,18.479799270629883,0.07493100315332413,59276.27611109987
26,2459274.7240741,127.2488903,12.4192679,1,18.640499114990234,0.15105299651622772,59274.224074100144
27,2459272.7390046,127.2488568,12.4193691,2,18.30970001220703,0.11136499792337418,59272.23900459986
28,2459272.6723264,127.2488533,12.4194028,1,18.5226993560791,0.13984499871730804,59272.172326399945
29,2459268.7521528,127.248807,12.4193623,2,18.20009994506836,0.06465800106525421,59268.252152800094
30,2459268.7099421,127.2488446,12.4193669,1,18.40399932861328,0.08102799952030182,59268.209942100104
31,2459266.7758681,127.2488539,12.4193679,1,18.34320068359375,0.07373999804258347,59266.275868100114
32,2459266.7525579,127.2488208,12.4193527,2,18.19379997253418,0.09281399846076965,59266.2525578998
33,2459264.7517361,127.2488482,12.419379,1,18.269699096679688,0.07929900288581848,59264.25173609983
34,2459264.71125,127.2488291,12.4193634,2,18.101299285888672,0.05384799838066101,59264.21125000017
35,2459262.7970486,127.2488601,12.4193768,1,18.247800827026367,0.08106700330972672,59262.297048599925
36,2459262.7307986,127.2488459,12.4193724,2,18.042299270629883,0.06529399752616882,59262.230798599776
37,2459257.8164815,127.2487909,12.4193151,1,18.080400466918945,0.2395170032978058,59257.31648149993
38,2459257.7532755,127.2488383,12.419359,2,17.99720001220703,0.051447998732328415,59257.253275500145
39,2459255.79625,127.2488385,12.4193749,2,17.878999710083008,0.06795299798250198,59255.29625000013
40,2459253.8291204,127.2488322,12.4193662,2,17.913299560546875,0.053164999932050705,59253.329120399896
41,2459253.7526968,127.2488512,12.4193649,1,18.009000778198242,0.06481599807739258,59253.252696800046
42,2459251.8198148,127.2488427,12.419373,2,17.975000381469727,0.0634239986538887,59251.31981479982
43,2459251.7899421,127.2488378,12.4193825,1,17.97010040283203,0.056992001831531525,59251.28994210018
44,2459249.8150579,127.2488628,12.4193725,2,17.989099502563477,0.07139100134372711,59249.3150578998
45,2459249.7575926,127.2487465,12.4193913,1,17.94610023498535,0.2493859976530075,59249.25759259984
