,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459264.7978935,148.2735234,29.9086949,2,19.980480194091797,0.18275700509548187,59264.297893499956
1,2459262.7373611,148.273563,29.9086756,2,19.856800079345703,0.18514500558376312,59262.23736110004
2,2459258.8577431,148.2735604,29.9087435,1,20.598800659179688,0.2409369945526123,59258.3577430998
3,2459258.8263194,148.2735578,29.9087251,2,19.66189956665039,0.1509380042552948,59258.32631940022
4,2459256.9061921,148.2735509,29.9087173,2,19.446399688720703,0.11563699692487717,59256.40619210014
5,2459256.8059028,148.2734839,29.9087685,1,20.312400817871094,0.1914689987897873,59256.30590280006
6,2459254.886088,148.2735624,29.9087191,2,19.444499969482422,0.12007000297307968,59254.386088000145
7,2459254.7913426,148.2735558,29.9087296,1,19.9867000579834,0.1302109956741333,59254.29134259978
8,2459252.8880208,148.2735643,29.9087177,1,19.903400421142578,0.1490810066461563,59252.38802079996
9,2459252.8021296,148.2735445,29.9087219,2,19.4330997467041,0.1038220003247261,59252.3021296002
10,2459250.8420949,148.2736163,29.9087033,2,19.447500228881836,0.1378049999475479,59250.34209490009
11,2459250.8027083,148.273558,29.9087526,1,19.895000457763672,0.1755090057849884,59250.30270829983
12,2459248.9022917,148.2735927,29.9087048,1,19.989099502563477,0.20000000298023224,59248.40229169978
