,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459257.7268634,109.4585897,54.9925348,2,20.05175018310547,0.17529499530792236,59257.22686340008
1,2459256.8262037,109.4582372,54.9925588,1,20.125900268554688,0.17451800405979156,59256.326203700155
2,2459256.7212153,109.4583804,54.9925131,2,20.11680030822754,0.20646899938583374,59256.221215299796
3,2459254.719213,109.4582373,54.992503,1,19.993799209594727,0.21167400479316711,59254.21921300003
4,2459254.6903241,109.4583767,54.9924854,2,19.944900512695312,0.22270600497722626,59254.1903241002
5,2459253.8173264,109.4584967,54.9925026,2,20.06100082397461,0.1719069927930832,59253.31732639996
6,2459253.7404051,109.4584537,54.9924713,1,19.8700008392334,0.17095699906349182,59253.24040509993
7,2459252.7914236,109.4583347,54.9924869,2,20.016399383544922,0.1984339952468872,59252.29142360017
8,2459252.745463,109.4583759,54.9925236,1,19.97909927368164,0.19532400369644165,59252.245463000145
9,2459251.763044,109.4584146,54.9924937,1,20.01609992980957,0.16042299568653107,59251.26304400014
10,2459251.7191204,109.4584412,54.9925538,2,20.013700485229492,0.17912699282169342,59251.21912040003
11,2459250.7691898,109.4582481,54.9924664,1,20.210800170898438,0.2555370032787323,59250.269189800136
12,2459250.7246991,109.4582462,54.9925783,2,20.369699478149414,0.2627359926700592,59250.224699100014
