,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459321.6991204,116.9132625,43.1946565,2,20.027469635009766,0.19817599654197693,59321.19912040001
2,2459319.701169,116.9132294,43.1946935,2,19.987199783325195,0.2491299957036972,59319.20116900001
3,2459316.706088,116.9132574,43.1946823,1,20.844900131225586,0.32939401268959045,59316.20608799998
4,2459316.6802199,116.9132614,43.1947009,2,19.803600311279297,0.14059700071811676,59316.18021989986
5,2459314.7193981,116.9132451,43.1947744,1,20.99570083618164,0.29123398661613464,59314.21939809993
6,2459314.6823958,116.9132518,43.1946905,2,19.707599639892578,0.15282900631427765,59314.18239580002
8,2459312.6744213,116.9132687,43.1947258,2,19.571800231933594,0.11649399995803833,59312.17442130018
10,2459310.6810069,116.913272,43.19469,2,19.618200302124023,0.13779400289058685,59310.181006900035
11,2459308.7461921,116.913208,43.1946116,1,20.658899307250977,0.21663300693035126,59308.24619209999
12,2459308.7008912,116.9132686,43.1947046,2,19.48110008239746,0.11380700021982193,59308.20089119999
13,2459306.6966782,116.913243,43.1947173,2,19.391399383544922,0.09020300209522247,59306.196678199805
14,2459306.6805324,116.9131717,43.194716,1,20.38290023803711,0.16460999846458435,59306.18053240003
15,2459303.7471991,116.9133128,43.1946741,2,19.32740020751953,0.13377200067043304,59303.24719909998
17,2459301.7875116,116.9132958,43.1946894,2,19.133899688720703,0.17951999604701996,59301.28751160018
19,2459297.7226157,116.9133639,43.1947694,2,19.102800369262695,0.14708399772644043,59297.222615700215
21,2459294.7071991,116.913276,43.194732,2,19.127500534057617,0.11707299947738647,59294.20719909994
22,2459294.6633218,116.9132064,43.1946932,1,19.809200286865234,0.24222299456596375,59294.163321800064
23,2459292.7250579,116.913276,43.1947329,2,19.13520050048828,0.1135839968919754,59292.22505789995
24,2459292.6755903,116.9132104,43.1947071,1,19.632200241088867,0.14352700114250183,59292.1755903
25,2459290.7445718,116.9132848,43.1947119,2,19.127700805664062,0.10182999819517136,59290.24457179988
26,2459290.7159491,116.9132485,43.1947188,1,19.505300521850586,0.09795200079679489,59290.21594909998
27,2459280.7566898,116.9132596,43.1946891,2,19.666259765625,0.12524600327014923,59280.25668979995
28,2459280.7566898,116.9132596,43.1946891,2,19.66629981994629,0.12524600327014923,59280.25668979995
29,2459280.7023495,116.9131903,43.1947014,1,19.838300704956055,0.14226800203323364,59280.2023494998
30,2459280.7023495,116.9131903,43.1947014,1,19.838300704956055,0.14226800203323364,59280.2023494998
31,2459276.7833449,116.9133217,43.1946668,2,20.007299423217773,0.19974499940872192,59276.28334489977
32,2459276.7038079,116.9130953,43.1946562,1,20.459800720214844,0.26734301447868347,59276.203807900194
