,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459321.7237963,90.9017502,59.565901,2,19.7897891998291,0.1884309947490692,59321.223796300124
1,2459321.6776042,90.9016881,59.5659487,1,20.280099868774414,0.1828089952468872,59321.17760419985
3,2459319.6797569,90.9017216,59.5658944,1,20.420400619506836,0.3010860085487366,59319.17975689983
4,2459316.7234144,90.9018038,59.5659104,1,20.165300369262695,0.23288500308990479,59316.22341440013
5,2459314.723206,90.9018451,59.5658686,1,20.35569953918457,0.28081101179122925,59314.22320599994
6,2459314.6640162,90.901759,59.565935,2,19.58970069885254,0.12497799843549728,59314.16401620023
7,2459312.7154745,90.9017524,59.5658688,1,20.01420021057129,0.22853800654411316,59312.215474499855
8,2459312.6759491,90.9016776,59.5658861,2,19.640199661254883,0.15949200093746185,59312.17594909994
9,2459310.6795486,90.9017668,59.5659409,2,19.74489974975586,0.14595000445842743,59310.17954860022
10,2459310.6627546,90.9018548,59.5659412,1,20.08919906616211,0.2014620006084442,59310.162754599936
11,2459308.7429051,90.9018984,59.5658972,1,20.31439971923828,0.2698419988155365,59308.242905099876
12,2459308.6830903,90.9016127,59.5658748,2,19.68440055847168,0.15074999630451202,59308.18309029983
13,2459306.7231944,90.9016908,59.5659171,2,19.717500686645508,0.1828099936246872,59306.22319439985
14,2459306.6776736,90.9018754,59.565907,1,19.972200393676758,0.16467000544071198,59306.17767360015
16,2459303.7443287,90.9017437,59.5658905,2,19.822900772094727,0.24615700542926788,59303.244328700006
18,2459301.6652083,90.9017488,59.5659234,2,19.572999954223633,0.24142000079154968,59301.16520830011
23,2459294.7229861,90.9019166,59.565958,2,19.495399475097656,0.1845110058784485,59294.222986099776
24,2459294.6604282,90.9019588,59.5658756,1,19.771900177001953,0.2460159957408905,59294.16042819992
25,2459292.7212616,90.9017867,59.5658823,2,19.57740020751953,0.1683720052242279,59292.22126160003
26,2459292.6571181,90.9017751,59.5658661,1,19.767900466918945,0.1322530061006546,59292.15711810021
27,2459290.6988542,90.9017958,59.5658703,1,19.677099227905273,0.147147998213768,59290.198854200076
28,2459280.6979167,90.9017032,59.5659158,1,19.617080688476562,0.14659300446510315,59280.19791670004
29,2459280.6979167,90.9017032,59.5659158,1,19.61709976196289,0.14659300446510315,59280.19791670004
30,2459280.6564931,90.901764,59.565897,2,19.60689926147461,0.12932999432086945,59280.15649309987
31,2459280.6564931,90.901764,59.565897,2,19.60689926147461,0.12932999432086945,59280.15649309987
