,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459336.696875,137.0676436,44.0823955,2,20.149309158325195,0.17347900569438934,59336.19687499991
1,2459334.7582639,137.0678635,44.0824586,2,20.044700622558594,0.29345598816871643,59334.258263899945
3,2459329.7072454,137.0674566,44.0823632,2,19.817689895629883,0.2109149992465973,59329.207245400175
7,2459325.6786111,137.0676589,44.0823747,2,19.8533992767334,0.1727059930562973,59325.178611100186
9,2459323.7166898,137.0675466,44.082478,2,19.822099685668945,0.1855819970369339,59323.21668979991
12,2459321.728669,137.06761,44.0823812,2,19.740299224853516,0.16798700392246246,59321.22866899986
13,2459321.7277199,137.067562,44.082343,2,19.652999877929688,0.11777099967002869,59321.2277199002
14,2459321.6818866,137.0674477,44.0824417,1,20.219900131225586,0.21564100682735443,59321.181886599865
15,2459321.6814236,137.0675761,44.0823557,1,20.396299362182617,0.20685100555419922,59321.18142359983
16,2459319.7492245,137.0675449,44.0824037,1,19.879100799560547,0.15167300403118134,59319.2492244998
17,2459319.7411806,137.0675712,44.0823748,1,20.13249969482422,0.16014200448989868,59319.24118060013
18,2459319.7141204,137.0675338,44.0823828,2,19.632699966430664,0.1566530019044876,59319.21412040014
19,2459319.7025694,137.0676509,44.0824062,2,19.622499465942383,0.13381600379943848,59319.20256939996
20,2459316.7272569,137.0675674,44.0823595,1,19.859399795532227,0.13794900476932526,59316.227256900165
21,2459316.7205324,137.0675913,44.0823817,1,19.88960075378418,0.11315599828958511,59316.22053240007
22,2459316.6864931,137.0675031,44.0823964,2,19.508899688720703,0.10067100077867508,59316.18649310013
23,2459316.6860301,137.0676089,44.082399,2,19.372400283813477,0.11442899703979492,59316.1860301001
24,2459314.7378125,137.0675435,44.0823788,1,19.82309913635254,0.14094899594783783,59314.23781249998
25,2459314.7274884,137.0676253,44.0824232,1,19.72920036315918,0.1482580006122589,59314.22748839995
26,2459314.6771296,137.0676038,44.0823643,2,19.468900680541992,0.1318719983100891,59314.1771296002
27,2459314.6766551,137.0675831,44.082389,2,19.356700897216797,0.11433299630880356,59314.17665510019
29,2459312.7686806,137.0676331,44.082381,2,19.331300735473633,0.12315800040960312,59312.268680599984
30,2459312.7255093,137.0675247,44.0823757,1,19.670499801635742,0.1162009984254837,59312.2255092999
31,2459312.7245602,137.0676655,44.082408,1,19.53700065612793,0.12789799273014069,59312.22456019977
32,2459310.8100694,137.0675657,44.0823067,2,19.27910041809082,0.12174499779939651,59310.310069399886
33,2459310.7472106,137.0675407,44.0823472,1,19.694499969482422,0.16759799420833588,59310.24721059995
34,2459310.7020139,137.0675151,44.0823559,2,19.326099395751953,0.11465000361204147,59310.20201390004
35,2459308.7653935,137.0675946,44.0823519,1,19.517099380493164,0.12011899799108505,59308.265393500216
36,2459308.7606481,137.0676209,44.0823794,1,19.420799255371094,0.10885699838399887,59308.26064810017
37,2459308.7182292,137.0675908,44.0823735,2,19.531700134277344,0.13954399526119232,59308.218229200225
38,2459308.7154051,137.0676017,44.0823937,2,19.39310073852539,0.10029300302267075,59308.215405100025
39,2459306.808287,137.0676802,44.0823511,1,19.44569969177246,0.10281600058078766,59306.30828699982
40,2459306.8061806,137.0675747,44.0824248,1,19.550199508666992,0.14560699462890625,59306.30618060008
41,2459306.7409028,137.0675895,44.0823753,2,19.386199951171875,0.12625299394130707,59306.24090280011
42,2459306.7390046,137.0675921,44.0823625,2,19.373300552368164,0.08973299711942673,59306.23900459986
43,2459304.6976273,137.0676538,44.082383,1,19.672399520874023,0.1598310023546219,59304.19762729993
44,2459304.6971644,137.0675514,44.0824311,1,19.481700897216797,0.15046000480651855,59304.197164400015
45,2459304.6774074,137.0676148,44.0824015,2,19.35610008239746,0.1325639933347702,59304.17740740022
46,2459304.6573843,137.0675707,44.0823796,2,19.384300231933594,0.13961799442768097,59304.15738430014
47,2459302.7233565,137.067555,44.0824176,2,19.68779945373535,0.21378099918365479,59302.2233564998
48,2459302.7195718,137.0676342,44.0823244,2,19.610200881958008,0.2101760059595108,59302.21957179997
49,2459302.6795833,137.0675283,44.0823783,1,19.57659912109375,0.1882849931716919,59302.179583299905
