,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459343.8542593,251.3831492,14.4165313,2,19.672800064086914,0.15645000338554382,59343.354259300046
1,2459341.9168171,251.383034,14.4164676,2,19.772300720214844,0.20750300586223602,59341.41681709979
2,2459339.8787731,251.3832136,14.4164275,1,20.450599670410156,0.2788569927215576,59339.37877310021
3,2459339.8200347,251.3830677,14.4164673,2,19.747600555419922,0.1417510062456131,59339.32003469998
4,2459336.9307639,251.3830762,14.4165407,1,20.495899200439453,0.28943300247192383,59336.430763899814
5,2459336.9307639,251.3830762,14.4165407,1,20.495899200439453,0.28943300247192383,59336.430763899814
6,2459336.8922801,251.3831456,14.4164558,2,19.682249069213867,0.14738599956035614,59336.39228009991
7,2459336.8922801,251.3831456,14.4164558,2,19.682199478149414,0.14738599956035614,59336.39228009991
8,2459336.8922801,251.3831456,14.4164558,2,19.682199478149414,0.14738599956035614,59336.39228009991
12,2459328.8121644,251.3830642,14.4164841,2,19.73040008544922,0.2279449999332428,59328.31216439977
13,2459324.8993403,251.3831021,14.416458,1,20.10689926147461,0.1820790022611618,59324.39934029989
14,2459324.7756829,251.3831315,14.4164499,2,19.44179916381836,0.1924629956483841,59324.2756829001
15,2459324.7756829,251.3831315,14.4164499,2,19.44179916381836,0.1924629956483841,59324.2756829001
16,2459322.9225463,251.3831135,14.4165,1,19.906200408935547,0.21604500710964203,59322.422546300106
17,2459322.7763079,251.3830885,14.4165325,2,19.58799934387207,0.16920700669288635,59322.27630789997
18,2459319.9344792,251.3830749,14.4164809,1,19.91710090637207,0.17446699738502502,59319.434479199816
19,2459319.8920255,251.383085,14.4164895,2,19.673999786376953,0.1912589967250824,59319.39202550007
22,2459313.9809954,251.3831388,14.4163797,1,19.693899154663086,0.1593170017004013,59313.48099539988
23,2459313.9410995,251.3831038,14.4164529,2,19.451200485229492,0.19910399615764618,59313.44109949982
24,2459311.9437731,251.3831376,14.4164322,1,19.847200393676758,0.15755900740623474,59311.44377310015
25,2459309.9732986,251.3831278,14.4165796,2,19.801599502563477,0.16112899780273438,59309.47329859994
26,2459309.8570833,251.3831166,14.4164588,1,19.753299713134766,0.1716890037059784,59309.35708330013
27,2459307.9829977,251.3830727,14.4164771,1,19.712299346923828,0.1923069953918457,59307.482997700106
28,2459307.9427199,251.3830994,14.4164859,2,19.559900283813477,0.1478620022535324,59307.44271990005
32,2459302.8776736,251.383257,14.4163154,1,19.572599411010742,0.31064900755882263,59302.37767359987
