,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459325.6902546,155.8276277,-0.4294285,1,19.510629653930664,0.16017399728298187,59325.19025459979
1,2459325.672419,155.8276865,-0.4294459,2,19.293100357055664,0.14941300451755524,59325.17241899995
2,2459323.7114931,155.8276573,-0.4294303,2,19.329099655151367,0.14335200190544128,59323.21149310004
3,2459323.6754514,155.8276694,-0.4294255,1,19.665700912475586,0.17716899514198303,59323.175451400224
4,2459321.7346181,155.827681,-0.4294382,1,19.406600952148438,0.12671799957752228,59321.23461809987
5,2459321.713831,155.8276842,-0.4294133,2,19.24570083618164,0.15000300109386444,59321.21383100003
6,2459319.7340741,155.8276944,-0.4294345,1,19.21649932861328,0.12374500185251236,59319.23407409992
7,2459319.7106829,155.8277018,-0.4294013,2,19.16510009765625,0.13845199346542358,59319.21068290016
8,2459316.7115046,155.8276812,-0.4294046,1,19.147600173950195,0.1041480004787445,59316.21150460001
9,2459314.7325579,155.8276591,-0.4294023,1,19.124300003051758,0.10067100077867508,59314.232557899784
10,2459312.7322801,155.8276763,-0.4293998,1,19.308700561523438,0.1308470070362091,59312.23228010023
12,2459308.7701852,155.8276394,-0.4294204,1,19.629899978637695,0.14498600363731384,59308.27018520003
14,2459306.8116667,155.8275442,-0.4293312,1,20.081100463867188,0.26218798756599426,59306.31166670006
