,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459381.7082176,181.6873905,67.1649659,2,19.060989379882812,0.1610870063304901,59381.208217599895
4,2459377.7180671,181.6873399,67.1649597,2,19.226200103759766,0.09786800295114517,59377.218067099806
6,2459375.7415046,181.6873946,67.164947,2,18.953800201416016,0.10906899720430374,59375.241504599806
8,2459373.7215046,181.6873813,67.1649621,2,18.97719955444336,0.11268199980258942,59373.22150459979
9,2459371.8285648,181.6874385,67.1649411,2,18.800199508666992,0.11221300065517426,59371.32856479986
12,2459369.6872685,181.6874487,67.1649621,2,18.742700576782227,0.08968300372362137,59369.187268500216
13,2459367.8651852,181.6873755,67.164955,2,18.70479965209961,0.10428699851036072,59367.36518519977
16,2459363.8417014,181.6873999,67.1649941,2,18.556900024414062,0.11189199984073639,59363.3417014
17,2459361.8604861,181.6873221,67.1649604,2,18.396299362182617,0.0950310006737709,59361.36048609996
20,2459358.7825,181.6873816,67.1649581,2,18.226499557495117,0.07819999754428864,59358.282500000205
22,2459353.7037847,181.6873705,67.1649541,2,17.852399826049805,0.04241500049829483,59353.20378470002
23,2459350.7388889,181.6872252,67.1648328,2,17.483200073242188,0.057684000581502914,59350.238888899796
24,2459348.9152662,181.6873421,67.1649487,2,17.476299285888672,0.04251300171017647,59348.41526619997
25,2459345.7031366,181.6873765,67.1649601,2,17.346599578857422,0.043793000280857086,59345.20313660009
26,2459345.6827662,181.6874935,67.1649943,1,19.34040069580078,0.10715100169181824,59345.18276620004
27,2459342.9312384,181.6873734,67.1649511,2,17.248699188232422,0.04334999993443489,59342.43123839982
28,2459342.8238426,181.6872968,67.1649814,1,18.928499221801758,0.12054699659347534,59342.32384259999
29,2459340.8642361,181.6873894,67.1649594,1,18.806800842285156,0.09122099727392197,59340.36423610011
30,2459340.8252431,181.6874085,67.1649627,2,17.180999755859375,0.05350099876523018,59340.32524310006
31,2459338.9297801,181.6873917,67.1649489,1,18.495899200439453,0.08601800352334976,59338.42978010001
32,2459338.7633449,181.6873839,67.1649634,2,17.127500534057617,0.06031100079417229,59338.26334490022
33,2459335.8323843,181.687441,67.1649425,2,16.908100128173828,0.06086700037121773,59335.33238429995
34,2459335.7502662,181.6874128,67.1649786,1,18.167400360107422,0.07072900235652924,59335.25026619993
35,2459329.8318403,181.687443,67.1649479,1,17.932430267333984,0.07932499796152115,59329.3318403
36,2459329.8318403,181.687443,67.1649479,1,17.93239974975586,0.07932499796152115,59329.3318403
37,2459329.8318403,181.687443,67.1649479,1,17.93239974975586,0.07932499796152115,59329.3318403
38,2459329.7452546,181.6874065,67.1649573,2,16.57990074157715,0.036563001573085785,59329.245254599955
39,2459329.7452546,181.6874065,67.1649573,2,16.57990074157715,0.036563001573085785,59329.245254599955
40,2459329.7452546,181.6874065,67.1649573,2,16.57990074157715,0.036563001573085785,59329.245254599955
41,2459325.8419097,181.6874597,67.1649337,1,17.961999893188477,0.07215200364589691,59325.34190970007
42,2459325.7626157,181.6873955,67.1649523,2,16.693700790405273,0.031005999073386192,59325.26261569979
43,2459323.8475116,181.6873824,67.1649473,2,16.8341007232666,0.04123799875378609,59323.34751159977
44,2459323.7841667,181.6873992,67.1649665,1,18.186599731445312,0.07972899824380875,59323.28416670021
45,2459321.8042361,181.6873853,67.1649401,2,17.11400032043457,0.03903299942612648,59321.304236100055
46,2459321.7409491,181.687381,67.1649673,1,18.52199935913086,0.08040100336074829,59321.24094909988
47,2459317.8279514,181.687361,67.1649556,2,18.14550018310547,0.0613740012049675,59317.327951400075
48,2459317.8279514,181.687361,67.1649556,2,18.14550018310547,0.0613740012049675,59317.327951400075
49,2459317.7461574,181.6873405,67.164983,1,19.555099487304688,0.0947519987821579,59317.246157399844
50,2459317.7461574,181.6873405,67.164983,1,19.555099487304688,0.0947519987821579,59317.246157399844
51,2459315.7422338,181.6874198,67.1649528,2,18.979999542236328,0.11163400113582611,59315.24223379977
