,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459732.8845139,250.8819723,19.4378272,2,20.363189697265625,0.19208399951457977,59732.38451390015
6,2459723.8794097,250.8819358,19.437864,1,20.701200485229492,0.3026919960975647,59723.37940970017
7,2459723.815544,250.881965,19.4378762,2,19.85569953918457,0.1542689949274063,59723.315543999895
8,2459721.8798727,250.8819521,19.4379029,2,19.814599990844727,0.1715950071811676,59721.3798727002
9,2459721.833044,250.8820062,19.4378767,2,19.85099983215332,0.161749005317688,59721.33304399997
10,2459718.8801273,250.881896,19.4378941,2,19.784700393676758,0.21356000006198883,59718.38012730004
11,2459718.8076389,250.8819961,19.4377769,2,19.753799438476562,0.19817499816417694,59718.30763889989
12,2459714.8772338,250.8818619,19.4377621,2,19.980100631713867,0.28185099363327026,59714.37723380001
15,2459712.8780208,250.8819514,19.437937,2,19.838199615478516,0.201556995511055,59712.378020800184
16,2459710.9346644,250.8820891,19.4378859,1,20.572799682617188,0.27335500717163086,59710.43466439983
17,2459710.8734954,250.882033,19.4377835,2,19.958999633789062,0.25539299845695496,59710.37349539995
32,2459324.8404861,250.8819352,19.4378693,2,19.96480941772461,0.19257700443267822,59324.34048609994
33,2459322.9230093,250.8819596,19.4378904,1,20.5447998046875,0.2910749912261963,59322.42300930014
34,2459322.7767708,250.8819276,19.4379364,2,20.02829933166504,0.2394919991493225,59322.27677079989
36,2459319.8934375,250.881973,19.4379046,2,20.03689956665039,0.24133199453353882,59319.39343750011
37,2459316.9012847,250.8820132,19.4379103,2,20.55590057373047,0.33240199089050293,59316.401284699794
