,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459345.9523727,266.1607849,61.772895,2,20.08245086669922,0.15233199298381805,59345.452372699976
1,2459345.910081,266.16061,61.7728914,1,20.305700302124023,0.17868299782276154,59345.41008100007
2,2459343.8909722,266.1606912,61.7728094,1,20.218700408935547,0.1697710007429123,59343.39097219985
3,2459343.8600231,266.1607482,61.7728849,2,19.978099822998047,0.18194599449634552,59343.36002309993
4,2459341.9358681,266.1608962,61.7728328,2,19.914499282836914,0.2018519937992096,59341.4358680998
5,2459341.8628241,266.1610595,61.7728078,1,20.291149139404297,0.19763199985027313,59341.36282410007
6,2459339.9702199,266.1610101,61.7727632,2,20.074399948120117,0.1863979995250702,59339.4702198999
7,2459339.9162037,266.1607067,61.7728809,1,20.08449935913086,0.15942500531673431,59339.416203700006
8,2459339.8926389,266.1609166,61.7728214,1,20.135799407958984,0.2687569856643677,59339.39263889985
9,2459339.8460301,266.16072,61.7729195,2,20.169599533081055,0.1723960041999817,59339.34603009978
10,2459337.9498148,266.1608602,61.7728022,2,20.110200881958008,0.27956798672676086,59337.44981480017
11,2459336.9225463,266.1608951,61.7728775,1,19.849409103393555,0.15719099342823029,59336.422546300106
12,2459336.9225463,266.1608951,61.7728775,1,19.84939956665039,0.15719099342823029,59336.422546300106
13,2459336.9225463,266.1608951,61.7728775,1,19.84939956665039,0.15719099342823029,59336.422546300106
14,2459336.8672454,266.1608333,61.7728833,2,20.01569938659668,0.16974900662899017,59336.36724539986
15,2459336.8672454,266.1608333,61.7728833,2,20.01569938659668,0.16974900662899017,59336.36724539986
16,2459336.8672454,266.1608333,61.7728833,2,20.01569938659668,0.16974900662899017,59336.36724539986
19,2459334.8662963,266.1610631,61.7728046,2,19.9783992767334,0.26621100306510925,59334.3662963002
20,2459334.7472685,266.1609323,61.7728113,1,19.89080047607422,0.1915999948978424,59334.24726849981
