,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459371.8198727,243.6211385,6.303556,2,20.131200790405273,0.16050399839878082,59371.31987270014
1,2459370.8379861,243.6209844,6.3035584,2,20.23979949951172,0.2291720062494278,59370.3379861
3,2459369.8729167,243.621157,6.3036019,1,20.84760093688965,0.2700890004634857,59369.37291669985
6,2459367.8584375,243.621121,6.3035519,2,20.2460994720459,0.24238300323486328,59367.35843749996
7,2459367.7938773,243.6211275,6.3035558,1,20.67970085144043,0.2929919958114624,59367.293877299875
11,2459364.8381829,243.621022,6.3036142,2,20.056800842285156,0.20951999723911285,59364.3381829001
21,2459356.873912,243.6209764,6.3036658,2,20.066099166870117,0.44348499178886414,59356.3739120001
25,2459353.8139699,243.6210954,6.3035856,2,19.931699752807617,0.18510399758815765,59353.3139698999
26,2459352.8438542,243.6208652,6.3035817,1,20.213199615478516,0.24478299915790558,59352.343854200095
27,2459352.7987731,243.6210502,6.3036291,2,19.989500045776367,0.21522800624370575,59352.298773100134
28,2459349.8823611,243.6211078,6.3035976,1,19.936899185180664,0.1590690016746521,59349.382361100055
29,2459349.8577431,243.6209146,6.3035817,1,20.170000076293945,0.22822700440883636,59349.3577430998
30,2459349.8362963,243.6210866,6.3035506,2,19.81999969482422,0.1765419989824295,59349.33629629994
32,2459345.8945833,243.6210942,6.3036089,1,19.71940040588379,0.18002000451087952,59345.39458330022
33,2459345.8779745,243.6209749,6.3035808,1,20.058000564575195,0.19864100217819214,59345.37797449995
34,2459345.8421296,243.6210998,6.3035402,2,19.902599334716797,0.1722390055656433,59345.34212959977
35,2459345.8402662,243.6210789,6.3036178,2,19.92770004272461,0.18154099583625793,59345.34026619978
36,2459343.8795949,243.6211294,6.3035311,1,19.837799072265625,0.17660899460315704,59343.37959490018
37,2459342.9361227,243.620968,6.303609,2,20.00079917907715,0.1966480016708374,59342.436122700106
38,2459342.8680324,243.6209533,6.3035804,1,19.85460090637207,0.12522999942302704,59342.36803240003
39,2459341.9163542,243.6211761,6.3036255,2,19.836999893188477,0.258637011051178,59341.41635419987
40,2459341.8361458,243.6210964,6.3035417,1,19.76449966430664,0.13547199964523315,59341.33614580007
41,2459340.8985301,243.6209412,6.3035601,2,19.891300201416016,0.16996100544929504,59340.39853010001
42,2459340.8946991,243.6209784,6.3035784,1,19.774700164794922,0.1983329951763153,59340.39469909994
43,2459339.8778241,243.621106,6.3036084,1,19.908700942993164,0.15269100666046143,59339.3778241002
44,2459339.833287,243.6210991,6.303553,2,20.002700805664062,0.1784369945526123,59339.33328700019
45,2459338.9204051,243.6210933,6.3035907,1,19.982099533081055,0.18453200161457062,59338.4204051001
46,2459338.8780787,243.621069,6.3036936,2,20.075700759887695,0.29943498969078064,59338.37807870004
48,2459335.9006713,243.6212663,6.3035259,1,19.56220054626465,0.32420098781585693,59335.40067130001
50,2459334.9526273,243.6211056,6.3036164,1,19.85059928894043,0.34799501299858093,59334.45262729982
