,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459395.7250231,184.8390413,32.249819,2,19.672239303588867,0.19857700169086456,59395.22502310015
2,2459393.6980671,184.8392228,32.2498149,2,19.86210060119629,0.22569000720977783,59393.19806709979
7,2459385.7198611,184.8391878,32.249996,2,19.834699630737305,0.2995379865169525,59385.21986109996
13,2459379.7246412,184.8391778,32.2498825,2,19.844900131225586,0.15114299952983856,59379.224641200155
14,2459379.6947917,184.8391802,32.2498656,1,20.10569953918457,0.1593800038099289,59379.194791700225
15,2459377.806331,184.8393447,32.2498755,1,19.921899795532227,0.17705099284648895,59377.306330999825
17,2459375.7630208,184.8392739,32.249725,1,20.02869987487793,0.1952120065689087,59375.26302079996
18,2459375.7156944,184.8392087,32.249911,2,20.086599349975586,0.18992699682712555,59375.215694400016
20,2459370.765081,184.8391751,32.2498812,2,19.927000045776367,0.16929000616073608,59370.26508100005
21,2459370.7238542,184.8392269,32.2498134,1,19.92959976196289,0.13144199550151825,59370.22385419998
22,2459368.7177894,184.8392069,32.2498801,2,19.884300231933594,0.20387400686740875,59368.2177893999
23,2459366.736956,184.8392043,32.2498876,1,20.02400016784668,0.14885899424552917,59366.23695599986
24,2459366.7145486,184.8392656,32.249846,2,19.977699279785156,0.16426199674606323,59366.214548599906
25,2459364.8127315,184.8391186,32.2498788,2,20.020599365234375,0.22677400708198547,59364.312731499784
26,2459362.7396875,184.8391672,32.2499357,2,20.052600860595703,0.21126000583171844,59362.239687500056
27,2459362.6922222,184.83924,32.2498863,1,20.076900482177734,0.16035200655460358,59362.19222219987
33,2459354.7395139,184.8392046,32.2496993,2,20.079999923706055,0.270022988319397,59354.23951390013
