,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459396.690787,192.4790139,-12.7084228,2,19.56658935546875,0.1576550006866455,59396.190787000116
3,2459392.6941319,192.4790864,-12.7085092,2,19.35890007019043,0.17454299330711365,59392.19413190009
6,2459386.6930208,192.4791293,-12.7084237,2,19.066099166870117,0.23910200595855713,59386.19302080013
10,2459379.7114236,192.4790412,-12.7084512,2,18.986600875854492,0.11100500077009201,59379.21142360009
11,2459376.7527431,192.4791,-12.7084279,2,18.88129997253418,0.12057600170373917,59376.252743099816
13,2459376.7111227,192.4790606,-12.7084317,1,19.064800262451172,0.1161620020866394,59376.21112270001
15,2459374.7216204,192.4790505,-12.7084357,1,18.89940071105957,0.10074800252914429,59374.22162039997
18,2459370.7699074,192.4791219,-12.7084489,2,18.49329948425293,0.10620799660682678,59370.26990740001
20,2459370.7162847,192.4791038,-12.7084382,1,18.699899673461914,0.08610499650239944,59370.216284700204
22,2459367.7527546,192.4790582,-12.7084429,1,18.61050033569336,0.09470400214195251,59367.25275459979
23,2459367.6912153,192.4790713,-12.7084542,2,18.53179931640625,0.09634699672460556,59367.1912153
25,2459364.7948148,192.4790363,-12.7084834,2,18.634300231933594,0.11710800230503082,59364.29481479991
27,2459362.752963,192.4790597,-12.7084851,2,18.494400024414062,0.10136300325393677,59362.25296299998
28,2459362.688912,192.4790437,-12.7084333,1,18.54599952697754,0.07547300308942795,59362.18891200004
29,2459359.7733333,192.4790809,-12.7084089,1,18.678600311279297,0.20409399271011353,59359.273333299905
31,2459354.8119444,192.4790432,-12.708356,1,18.84749984741211,0.1959490031003952,59354.31194439996
32,2459354.7342824,192.4790817,-12.7084691,2,18.885900497436523,0.152661994099617,59354.23428239999
34,2459350.6902083,192.4790668,-12.7085765,1,19.850400924682617,0.21122600138187408,59350.19020830002
35,2459348.7307407,192.4790245,-12.708399,1,20.564800262451172,0.27705198526382446,59348.23074069992
