,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459386.8565162,284.0878556,-23.7449924,2,18.952329635620117,0.14386999607086182,59386.35651620012
3,2459384.8353704,284.0878555,-23.7451096,2,18.947900772094727,0.1477150022983551,59384.33537039999
4,2459382.8969792,284.087889,-23.7450986,1,19.336000442504883,0.19590799510478973,59382.39697920019
5,2459382.8552431,284.0878604,-23.745107,2,19.128799438476562,0.11439000070095062,59382.35524309985
8,2459378.8551736,284.0878772,-23.7450205,1,19.07859992980957,0.12000299990177155,59378.355173599906
10,2459376.8716898,284.0878599,-23.7450627,1,18.842599868774414,0.11407600343227386,59376.37168980017
12,2459374.892662,284.087852,-23.7450555,1,18.74329948425293,0.10916300117969513,59374.39266199991
13,2459371.9395486,284.0878584,-23.7450596,2,18.399599075317383,0.07087600231170654,59371.4395486
14,2459371.895544,284.0878584,-23.7450699,1,18.44700050354004,0.07876700162887573,59371.39554399997
15,2459369.9388889,284.0878429,-23.7450845,2,18.492000579833984,0.06596100330352783,59369.43888889998
16,2459369.8958912,284.0878883,-23.7450421,1,18.432300567626953,0.0719200000166893,59369.39589119982
17,2459367.9350231,284.0878568,-23.7450175,1,18.337600708007812,0.08866199851036072,59367.435023100115
18,2459367.8972801,284.0878689,-23.7450654,2,18.236000061035156,0.06774900108575821,59367.3972800998
19,2459365.9404977,284.0878559,-23.7450208,1,18.31399917602539,0.10606300085783005,59365.440497700125
20,2459365.9331829,284.0878329,-23.7450564,2,18.38319969177246,0.09748400002717972,59365.43318289984
22,2459356.938831,284.0878309,-23.7450613,1,19.376300811767578,0.14596299827098846,59356.43883100012
