,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459441.6710069,244.210032,12.6429163,2,19.34351921081543,0.14778800308704376,59441.17100689979
1,2459439.6762153,244.210014,12.6429156,1,20.150100708007812,0.26050499081611633,59439.17621529987
2,2459436.768125,244.2100275,12.6429266,1,20.006099700927734,0.23054799437522888,59436.268124999944
3,2459434.7352546,244.2100121,12.6428698,1,19.965700149536133,0.18462100625038147,59434.23525460018
4,2459429.7737037,244.2100562,12.6428632,1,20.048799514770508,0.20451900362968445,59429.27370369993
5,2459427.7339583,244.2100261,12.6428634,1,19.801700592041016,0.171316996216774,59427.2339583002
6,2459425.7343171,244.2100473,12.6428874,1,19.822200775146484,0.224481999874115,59425.23431710014
7,2459425.6788657,244.2100188,12.6428937,2,19.125200271606445,0.09756799787282944,59425.17886570003
8,2459423.7477546,244.2100295,12.6429724,2,19.03219985961914,0.13353200256824493,59423.2477545999
9,2459419.7086574,244.2101145,12.6429307,1,19.72170066833496,0.3455759882926941,59419.20865740022
10,2459415.6926389,244.20999,12.642941,2,18.966699600219727,0.1092270016670227,59415.19263890013
11,2459415.6926389,244.20999,12.642941,2,18.966699600219727,0.1092270016670227,59415.19263890013
12,2459415.6926389,244.20999,12.642941,2,18.966699600219727,0.1092270016670227,59415.19263890013
13,2459412.7494097,244.2100792,12.6429311,1,19.849199295043945,0.21419599652290344,59412.24940969981
14,2459412.7282986,244.2100186,12.6429256,2,18.91900062561035,0.1051660031080246,59412.22829859983
16,2459410.6936343,244.210051,12.6428914,1,19.70359992980957,0.15514899790287018,59410.19363430003
17,2459408.7342245,244.2100495,12.6429515,2,19.0093994140625,0.10797800123691559,59408.234224500135
18,2459406.733912,244.210031,12.642949,2,18.8656005859375,0.09093300253152847,59406.23391199997
19,2459406.7145023,244.209957,12.6429076,1,19.704099655151367,0.1649170070886612,59406.214502300136
20,2459404.7116667,244.2100302,12.6429351,2,18.943300247192383,0.08812200278043747,59404.211666699965
21,2459402.7972222,244.2100357,12.6428792,1,19.530899047851562,0.13090799748897552,59402.29722219985
22,2459402.749294,244.2099899,12.6429096,2,18.95669937133789,0.08608400076627731,59402.24929400021
23,2459400.7969097,244.2100469,12.6429386,1,19.540599822998047,0.13367000222206116,59400.29690970015
24,2459397.7527431,244.209984,12.6429244,1,19.484899520874023,0.10708100348711014,59397.252743099816
25,2459395.7950231,244.2100337,12.6429679,2,18.95159912109375,0.20660500228405,59395.295023099985
26,2459395.7534259,244.2101021,12.6429351,1,19.586000442504883,0.2401449978351593,59395.25342589989
27,2459393.7756481,244.210036,12.6429271,1,19.550100326538086,0.15421900153160095,59393.275648099836
28,2459393.7326852,244.2100206,12.6429233,2,18.897199630737305,0.10196200013160706,59393.23268519994
29,2459391.7751157,244.209985,12.6429387,2,18.838699340820312,0.10724899917840958,59391.27511569997
30,2459387.8404167,244.2100046,12.6429882,1,19.38559913635254,0.2785179913043976,59387.34041670011
31,2459387.732419,244.2100451,12.6429544,2,18.7721004486084,0.1283240020275116,59387.23241900001
32,2459385.8067014,244.210091,12.6429049,1,19.23270034790039,0.18451499938964844,59385.30670139985
33,2459385.7703935,244.2100287,12.6429282,2,18.796300888061523,0.09643100202083588,59385.270393500105
34,2459383.754838,244.210055,12.6429387,1,18.9955997467041,0.12661799788475037,59383.25483800005
35,2459383.7122338,244.21003,12.6429552,2,18.733299255371094,0.12152200192213058,59383.212233799975
36,2459381.8597685,244.2100278,12.6429147,2,18.727800369262695,0.15344800055027008,59381.359768500086
37,2459381.7960069,244.2099914,12.6429006,1,18.978300094604492,0.14199699461460114,59381.29600689979
38,2459379.859456,244.2100325,12.6429067,2,18.72949981689453,0.07204099744558334,59379.35945599992
39,2459379.7960417,244.2100213,12.6429064,1,18.996200561523438,0.09539200365543365,59379.29604170006
40,2459377.8326273,244.2100443,12.6429352,1,18.907899856567383,0.10647299885749817,59377.33262730017
41,2459377.7693866,244.210034,12.6429411,2,18.690399169921875,0.07299800217151642,59377.26938659977
42,2459375.8810995,244.2100101,12.6429299,2,18.70870018005371,0.10501199960708618,59375.38109950023
43,2459375.7904977,244.2099998,12.6429334,1,18.83880043029785,0.08748800307512283,59375.29049770022
44,2459371.8682176,244.2100252,12.642932,1,18.788299560546875,0.07242699712514877,59371.368217600044
45,2459371.8189352,244.2100137,12.642922,2,18.71619987487793,0.08729200065135956,59371.318935200106
46,2459369.8705671,244.2100271,12.6429497,1,18.699600219726562,0.09025900065898895,59369.37056710012
47,2459369.8157176,244.210008,12.6429514,2,18.686100006103516,0.07276000082492828,59369.31571759982
48,2459367.8392824,244.2100315,12.6429248,2,18.66349983215332,0.08264899998903275,59367.339282399975
49,2459367.7943403,244.2100358,12.6429156,1,18.706600189208984,0.07902699708938599,59367.29434029991
50,2459365.838669,244.2100347,12.6429495,2,18.753400802612305,0.08325900137424469,59365.33866900019
51,2459365.8328356,244.2100258,12.6429482,1,18.66069984436035,0.07171399891376495,59365.33283559978
52,2459363.8578009,244.2100498,12.642928,2,18.724700927734375,0.07691500335931778,59363.357800900005
53,2459363.7768056,244.2100584,12.6429481,1,18.683700561523438,0.09656299650669098,59363.27680560015
54,2459361.8748843,244.2100252,12.6429608,2,18.984100341796875,0.1668740063905716,59361.374884299934
55,2459361.8289005,244.2100859,12.6429146,1,18.76849937438965,0.11828099936246872,59361.3289005002
56,2459358.9001042,244.2100597,12.6428844,1,19.385000228881836,0.1911969929933548,59358.4001042
