,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459386.9700694,29.0430747,33.7696595,2,20.132230758666992,0.1796479970216751,59386.470069400035
1,2459386.9681019,29.043133,33.7695649,2,20.068500518798828,0.1756030023097992,59386.46810190007
2,2459386.9661343,29.0431542,33.769466,2,20.297500610351562,0.25471699237823486,59386.46613429999
4,2459386.9621991,29.043109,33.7696039,2,20.13360023498535,0.19691500067710876,59386.46219909983
5,2459385.9692593,29.0430718,33.7695842,2,20.100799560546875,0.25705400109291077,59385.4692592998
8,2459385.9633796,29.0431193,33.7695136,2,20.24720001220703,0.23457199335098267,59385.463379600085
9,2459385.9614236,29.0431037,33.769576,2,20.076499938964844,0.20971499383449554,59385.46142360009
16,2459379.9768056,29.0430954,33.7695205,2,19.774999618530273,0.20091499388217926,59379.47680559987
18,2459379.972037,29.0431955,33.7695651,2,19.972900390625,0.18656699359416962,59379.472037000116
19,2459379.9696528,29.0432033,33.769499,2,20.017000198364258,0.20295800268650055,59379.46965279989
20,2459378.9795486,29.0430931,33.7695718,2,20.00320053100586,0.3073759973049164,59378.47954860004
21,2459378.9771644,29.0431828,33.7695319,2,19.59149932861328,0.15598200261592865,59378.47716439981
22,2459378.9747801,29.0432495,33.7695908,2,19.55340003967285,0.17858900129795074,59378.47478009993
23,2459378.9723958,29.0431023,33.7695458,2,19.58489990234375,0.14385299384593964,59378.472395800054
24,2459378.9700231,29.0430845,33.7695564,2,19.665000915527344,0.1322689950466156,59378.4700230998
27,2459377.9741551,29.0432352,33.7696031,2,19.79199981689453,0.22639399766921997,59377.47415510006
28,2459377.9717708,29.0431266,33.7695946,2,19.54960060119629,0.1736460030078888,59377.471770800184
29,2459377.9698264,29.0431474,33.7695831,2,19.60849952697754,0.13782399892807007,59377.469826399814
31,2459376.9773148,29.0432779,33.7695117,2,19.710599899291992,0.231795996427536,59376.477314800024
32,2459376.9749074,29.0431406,33.7694986,2,19.611000061035156,0.20492500066757202,59376.47490740009
33,2459376.9725,29.043305,33.7695814,2,19.508899688720703,0.15518899261951447,59376.47250000015
34,2459376.9700926,29.0431956,33.7696254,2,19.454099655151367,0.14754299819469452,59376.47009260021
35,2459375.9812384,29.0433019,33.7696304,2,19.145700454711914,0.24032799899578094,59375.4812384001
38,2459375.9740162,29.0433477,33.7695797,2,19.496200561523438,0.2526730000972748,59375.47401619982
43,2459373.9812731,29.0432355,33.7696337,2,19.28420066833496,0.22602899372577667,59373.48127309978
44,2459373.9789236,29.0431338,33.7696026,2,19.170499801635742,0.1399960070848465,59373.47892360017
45,2459373.9765625,29.0431467,33.7695675,2,19.282800674438477,0.13357099890708923,59373.4765625
46,2459373.974213,29.0430963,33.7696021,2,19.381000518798828,0.1592099964618683,59373.47421299992
47,2459373.9718634,29.043028,33.7695443,2,19.32469940185547,0.13656599819660187,59373.47186340019
48,2459371.9784606,29.0431345,33.7695585,2,19.13599967956543,0.13600000739097595,59371.478460600134
49,2459371.9760995,29.0431649,33.7696479,2,19.07699966430664,0.11125800013542175,59371.47609949997
51,2459371.9714005,29.0431106,33.7695861,2,19.2189998626709,0.13532400131225586,59371.47140049981
52,2459371.9690509,29.0430751,33.7695992,2,19.093599319458008,0.09882199764251709,59371.46905090008
53,2459370.9785532,29.0431456,33.769581,2,19.005699157714844,0.1616619974374771,59370.47855320014
54,2459370.9762037,29.0432104,33.7694849,2,19.11639976501465,0.179066002368927,59370.47620370006
55,2459370.9738542,29.0431556,33.7696006,2,19.125099182128906,0.10494700074195862,59370.47385419998
56,2459370.9714931,29.0431913,33.7695666,2,19.01889991760254,0.1494169980287552,59370.471493099816
57,2459370.9691435,29.0431298,33.7695626,2,19.01059913635254,0.1287440061569214,59370.469143500086
60,2459369.9742708,29.0431955,33.7695777,2,18.945899963378906,0.10638800263404846,59369.47427080013
61,2459369.9719097,29.0431431,33.7695541,2,19.151500701904297,0.14836199581623077,59369.47190969996
62,2459369.9695602,29.0431797,33.7694961,2,18.961700439453125,0.10140000283718109,59369.46956019988
