,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459543.6370718,0.8142954,16.1456886,2,17.478290557861328,0.053231000900268555,59543.13707179995
1,2459540.7578009,0.8142932,16.1456707,1,17.023099899291992,0.03983699902892113,59540.25780089991
4,2459537.7452778,0.8143082,16.1457163,1,16.98940086364746,0.047554001212120056,59537.24527780013
5,2459532.6931481,0.8142841,16.1456951,1,16.88909912109375,0.04466700181365013,59532.19314809982
6,2459532.6399769,0.8142725,16.1457021,2,17.293100357055664,0.03598399832844734,59532.13997690007
7,2459530.7145023,0.8142937,16.1457141,2,17.181100845336914,0.0314439982175827,59530.214502300136
8,2459530.6316782,0.8142735,16.1456978,1,16.826799392700195,0.0355370007455349,59530.13167819986
9,2459527.7130556,0.8142923,16.1456848,1,16.8125,0.02809399925172329,59527.21305559995
11,2459525.6920718,0.8142963,16.1456944,1,16.84630012512207,0.032655999064445496,59525.19207180012
13,2459523.6932407,0.8142883,16.1456881,1,16.802400588989258,0.029853999614715576,59523.193240699824
15,2459521.7110764,0.8142817,16.1456923,1,16.682300567626953,0.032593000680208206,59521.21107639978
16,2459521.6617245,0.8142917,16.1457079,2,17.024499893188477,0.060336001217365265,59521.16172449989
17,2459518.768831,0.8142897,16.1456999,1,16.655000686645508,0.029650000855326653,59518.2688310002
18,2459512.6898148,0.8142926,16.1457053,1,16.516000747680664,0.037018001079559326,59512.18981479993
19,2459512.6517477,0.8142831,16.1457216,2,16.726499557495117,0.04719400033354759,59512.15174769983
21,2459504.7325116,0.8142822,16.1457081,1,16.35689926147461,0.03426000103354454,59504.232511600014
22,2459502.9004398,0.8142928,16.1456958,1,16.35379981994629,0.03128499910235405,59502.40043980023
23,2459502.8521065,0.814304,16.1457006,2,16.44610023498535,0.03185899928212166,59502.35210649995
24,2459498.8395255,0.814298,16.1456961,1,16.261999130249023,0.0359949991106987,59498.33952549985
25,2459494.8409259,0.8142929,16.1456941,1,16.20330047607422,0.028547000139951706,59494.3409258998
27,2459489.8407176,0.8142953,16.1457001,1,16.085580825805664,0.027595000341534615,59489.34071760019
28,2459489.8407176,0.8142953,16.1457001,1,16.085599899291992,0.027595000341534615,59489.34071760019
29,2459489.7794329,0.8142898,16.145702,2,16.009000778198242,0.026854999363422394,59489.279432899784
30,2459489.7794329,0.8142898,16.145702,2,16.009000778198242,0.026854999363422394,59489.279432899784
31,2459487.8224537,0.8142991,16.1457027,2,15.93809986114502,0.03466999903321266,59487.322453700006
32,2459487.7694097,0.8142931,16.1456868,1,16.060800552368164,0.03595000132918358,59487.26940969983
33,2459485.7782292,0.8142911,16.1456911,1,16.011499404907227,0.024224000051617622,59485.278229199816
34,2459485.7467708,0.8142847,16.1457059,2,15.87279987335205,0.028517000377178192,59485.24677080009
35,2459480.8537037,0.814282,16.1457,1,15.947699546813965,0.028581000864505768,59480.353703700006
36,2459480.7903935,0.814275,16.1457088,2,15.710800170898438,0.02984900027513504,59480.29039350012
37,2459478.8515509,0.8142885,16.1457098,1,15.910699844360352,0.02762800082564354,59478.35155089991
38,2459478.7760648,0.8142946,16.1457086,2,15.62660026550293,0.024049000814557076,59478.2760648001
39,2459476.8165046,0.8142814,16.1457131,2,15.54889965057373,0.029319999739527702,59476.31650459999
40,2459476.7806366,0.8142889,16.1456968,1,15.874199867248535,0.027948999777436256,59476.28063660022
41,2459474.8644329,0.8142873,16.1456937,1,15.837300300598145,0.027170000597834587,59474.36443290021
42,2459474.7800579,0.8142802,16.1457194,2,15.495400428771973,0.028850000351667404,59474.28005790012
43,2459471.9258333,0.8142861,16.1457072,2,15.394599914550781,0.03192700073122978,59471.42583330022
44,2459469.8598843,0.8142902,16.1457079,2,15.32040023803711,0.03727800026535988,59469.3598842998
45,2459467.9259375,0.8142909,16.145696,1,15.709799766540527,0.023962000384926796,59467.42593749985
46,2459467.8596412,0.8142825,16.1457081,2,15.234700202941895,0.027938000857830048,59467.35964119993
47,2459465.8566204,0.8142849,16.1457012,2,15.168100357055664,0.02230600081384182,59465.35662040021
48,2459465.8162384,0.8142845,16.1456848,1,15.69729995727539,0.02333199977874756,59465.31623840006
49,2459463.854213,0.8142889,16.1456875,1,15.621600151062012,0.026820000261068344,59463.35421299981
50,2459463.8288194,0.8142825,16.1457048,2,15.08899974822998,0.022624000906944275,59463.328819400165
51,2459461.9095255,0.8142901,16.1456926,1,15.595399856567383,0.029241999611258507,59461.409525500145
52,2459461.8716667,0.8142958,16.1457046,2,15.005200386047363,0.0271029993891716,59461.37166670011
53,2459459.8610185,0.8142959,16.145696,2,14.943300247192383,0.02371699921786785,59459.361018499825
54,2459459.8213657,0.8142917,16.1456883,1,15.565099716186523,0.02449899911880493,59459.3213657001
56,2459453.8945949,0.8142851,16.1456975,1,15.434800148010254,0.02946300059556961,59453.394594899844
57,2459453.8398611,0.8142889,16.1457142,2,14.72719955444336,0.025380000472068787,59453.339861100074
58,2459451.8434954,0.8142701,16.1457142,2,14.6072998046875,0.016899999231100082,59451.34349540016
59,2459448.8412269,0.8142915,16.145698,1,15.305700302124023,0.021414000540971756,59448.3412269
60,2459444.929294,0.8142894,16.1456804,1,15.158100128173828,0.021244000643491745,59444.429293999914
61,2459442.8297106,0.8142999,16.1456819,1,15.087800025939941,0.0225600004196167,59442.329710599966
62,2459439.9371065,0.8142857,16.1456838,1,14.970399856567383,0.021604999899864197,59439.437106499914
63,2459439.8939005,0.8142845,16.1456904,2,14.045999526977539,0.02721099928021431,59439.393900500145
64,2459436.9239699,0.8142973,16.1456833,1,14.785499572753906,0.02755199931561947,59436.42396989977
65,2459436.881331,0.8142882,16.1456873,2,13.818300247192383,0.033211998641490936,59436.38133100001
66,2459434.8708449,0.8142849,16.145681,2,13.624199867248535,0.02722099982202053,59434.37084490014
67,2459429.9314583,0.8142877,16.1456741,1,14.06879997253418,0.02365499921143055,59429.43145829998
68,2459429.9055556,0.8142801,16.1456803,2,13.219499588012695,0.0203660000115633,59429.405555599835
69,2459427.9254398,0.8142817,16.1456748,2,13.13010025024414,0.02960599958896637,59427.425439800136
70,2459427.8685648,0.8142891,16.145682,1,13.798399925231934,0.02333099953830242,59427.368564799894
71,2459424.9372222,0.8142875,16.1456769,1,13.385199546813965,0.021956000477075577,59424.43722219998
72,2459424.9015046,0.8142802,16.1456825,2,13.07349967956543,0.028555000200867653,59424.401504599955
73,2459422.9577546,0.8142811,16.1456768,1,13.182100296020508,0.024620000272989273,59422.45775459986
74,2459422.9344097,0.8142855,16.1456786,2,13.018500328063965,0.025724999606609344,59422.43440969987
75,2459418.9609491,0.8142857,16.1456827,1,12.80840015411377,0.02279599942266941,59418.46094910009
76,2459418.9053009,0.8142684,16.1456803,2,12.751799583435059,0.03504600003361702,59418.405300899874
77,2459416.9329282,0.8142734,16.145685,2,12.631199836730957,0.028017999604344368,59416.43292819988
81,2459411.9147685,0.8142795,16.1456829,1,12.425600051879883,0.023889999836683273,59411.41476849979
83,2459409.9369676,0.8142716,16.1456826,1,12.447600364685059,0.02798200026154518,59409.43696760014
84,2459406.9628819,0.8142822,16.1456664,2,12.528499603271484,0.02289400063455105,59406.462881899904
86,2459403.9038657,0.8142849,16.1456818,1,13.17020034790039,0.021903999149799347,59403.40386570012
87,2459400.9598032,0.8142876,16.1456842,2,13.808899879455566,0.01939300075173378,59400.45980319986
88,2459400.9130903,0.8142849,16.1456843,1,14.187800407409668,0.023631000891327858,59400.413090299815
89,2459396.9482176,0.814281,16.1456954,1,15.767999649047852,0.0285630002617836,59396.44821760012
90,2459396.9046875,0.814293,16.1456989,2,15.662300109863281,0.027713000774383545,59396.40468750009
