,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459452.7268981,278.0190991,22.1900463,2,20.102619171142578,0.21450099349021912,59452.22689810023
1,2459452.7264352,278.0190871,22.1901406,2,19.845399856567383,0.19412200152873993,59452.226435199846
13,2459443.7550463,278.0191655,22.1901167,2,19.833599090576172,0.23368899524211884,59443.255046300124
17,2459441.7542824,278.0191702,22.1900584,1,20.457300186157227,0.29204198718070984,59441.25428240001
18,2459441.6922338,278.0190998,22.1901547,2,19.74340057373047,0.2054709941148758,59441.19223379996
19,2459441.6912963,278.0191161,22.1900684,2,19.581600189208984,0.1998859941959381,59441.19129629992
22,2459439.7141319,278.0190546,22.1901255,2,19.618900299072266,0.14889299869537354,59439.21413190011
23,2459439.7122106,278.0191531,22.1900766,2,19.632400512695312,0.14312799274921417,59439.2122105998
25,2459436.7537847,278.0191147,22.1900518,1,20.127199172973633,0.23041899502277374,59436.25378469983
26,2459436.7282639,278.0191551,22.1900879,2,19.549400329589844,0.1672859936952591,59436.22826390015
27,2459436.7273148,278.0190316,22.1901041,2,19.64259910583496,0.14695699512958527,59436.227314800024
28,2459434.7531713,278.0189521,22.1901067,1,20.157899856567383,0.24418500065803528,59434.25317130005
29,2459434.7526968,278.0190943,22.190023,1,20.09079933166504,0.20042400062084198,59434.252696800046
30,2459434.7059606,278.0190558,22.190066,2,19.56220054626465,0.13359899818897247,59434.20596060017
31,2459434.7054977,278.0191088,22.1900783,2,19.42840003967285,0.11658699810504913,59434.20549769979
32,2459429.8123495,278.0192154,22.190093,1,19.68670082092285,0.14062699675559998,59429.312349500135
33,2459429.7898843,278.0190771,22.1900412,1,19.65250015258789,0.13975800573825836,59429.28988429997
34,2459427.8528588,278.0191651,22.1900914,2,19.15530014038086,0.11396300047636032,59427.352858799975
35,2459427.8191667,278.0191215,22.1901194,2,19.2721004486084,0.13360300660133362,59427.31916669989
36,2459427.7974306,278.0191732,22.1901182,1,19.510900497436523,0.13393700122833252,59427.29743060004
37,2459427.7883333,278.019027,22.1900725,1,19.673799514770508,0.14041000604629517,59427.288333300035
38,2459425.7675579,278.0191478,22.1900431,1,19.428199768066406,0.13156700134277344,59425.26755789993
39,2459425.7652083,278.0190776,22.1900707,1,19.474300384521484,0.13646100461483002,59425.2652083002
40,2459423.8450347,278.0191654,22.1901086,1,19.322399139404297,0.1639849990606308,59423.34503469989
41,2459423.8303241,278.0192051,22.1900458,1,19.114599227905273,0.23825600743293762,59423.330324099865
42,2459423.7997106,278.0191489,22.1900583,2,18.788000106811523,0.22946499288082123,59423.29971060017
45,2459419.8033218,278.0190253,22.1900924,2,19.160600662231445,0.2540459930896759,59419.303321800195
46,2459419.8023611,278.0190563,22.1901338,2,18.778200149536133,0.24033500254154205,59419.30236109998
48,2459414.7973264,278.019151,22.1900814,2,18.984500885009766,0.12334699928760529,59414.297326399945
49,2459414.7963773,278.0191537,22.1900671,2,18.969900131225586,0.1010110005736351,59414.29637729982
50,2459414.7672222,278.0190946,22.1900866,1,19.10569953918457,0.11498899757862091,59414.267222200055
51,2459411.8163657,278.0190619,22.1901053,1,19.222000122070312,0.13531099259853363,59411.316365700215
52,2459411.8154051,278.0191929,22.1900968,1,19.318700790405273,0.1272220015525818,59411.31540510012
53,2459411.7693171,278.01915,22.1900999,2,19.03619956970215,0.11153999716043472,59411.269317099825
54,2459411.754375,278.0190982,22.1901011,2,19.181400299072266,0.14203999936580658,59411.25437500002
55,2459409.8331597,278.0190408,22.1900685,1,19.490400314331055,0.12118799984455109,59409.333159700036
56,2459409.7965856,278.0191493,22.1900999,2,19.310300827026367,0.14113399386405945,59409.29658559989
57,2459409.7756366,278.0190765,22.1901096,2,19.354799270629883,0.12448100000619888,59409.275636599865
58,2459407.8176389,278.0191611,22.1900629,2,19.57740020751953,0.13214999437332153,59407.31763890013
59,2459407.7981481,278.019029,22.190117,2,19.5762996673584,0.1704619973897934,59407.2981480998
60,2459407.7779282,278.019118,22.1900724,1,19.739900588989258,0.1758749932050705,59407.277928200085
61,2459407.7765162,278.0190263,22.1900017,1,19.775800704956055,0.20311999320983887,59407.27651620004
62,2459405.8379282,278.0189298,22.190014,2,19.986900329589844,0.26057401299476624,59405.33792820014
63,2459405.8193981,278.0190594,22.190051,1,20.16309928894043,0.20351900160312653,59405.31939810002
64,2459405.8179745,278.019164,22.1900735,1,19.993499755859375,0.1676730066537857,59405.31797449989
