,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459455.7778472,329.8189575,-7.2357946,2,20.090980529785156,0.1829109936952591,59455.27784720017
2,2459453.795081,329.819011,-7.2358713,2,20.147499084472656,0.2259729951620102,59453.295080999844
7,2459442.8537384,329.8188562,-7.2358477,2,19.668699264526367,0.1327030062675476,59442.353738400154
8,2459442.8149074,329.8189219,-7.2358354,1,19.788700103759766,0.1869480013847351,59442.31490739994
9,2459440.7726505,329.8188602,-7.2358699,1,19.64859962463379,0.1450120061635971,59440.27265049983
10,2459440.7726505,329.8188602,-7.2358699,1,19.64859962463379,0.1450120061635971,59440.27265049983
11,2459438.8351736,329.8189022,-7.2358658,2,19.5625,0.18336999416351318,59438.33517359989
12,2459435.8957639,329.8188885,-7.2358526,1,19.350000381469727,0.11752499639987946,59435.39576390013
13,2459430.8189236,329.8188943,-7.2358528,1,19.168800354003906,0.10784199833869934,59430.31892360002
15,2459426.8991551,329.8189506,-7.2358459,2,19.225500106811523,0.12490399926900864,59426.399155099876
16,2459426.8582986,329.8188945,-7.235852,1,19.20330047607422,0.12600399553775787,59426.358298600186
18,2459423.877419,329.8188458,-7.2358066,1,19.210500717163086,0.2469950020313263,59423.377419000026
22,2459414.8984144,329.8187942,-7.2357563,1,20.618900299072266,0.30382201075553894,59414.39841439994
