,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459531.6300116,335.5215722,19.8766629,2,19.6488094329834,0.1962990015745163,59531.13001159998
2,2459529.6744097,335.521606,19.8766881,2,19.684999465942383,0.17362700402736664,59529.17440970009
3,2459526.6709954,335.5215008,19.8766595,1,20.032699584960938,0.16486899554729462,59526.17099539982
4,2459524.6824421,335.5215869,19.8766874,2,19.47760009765625,0.11789499968290329,59524.18244209979
5,2459524.6441088,335.5215473,19.8767162,1,20.107799530029297,0.15847299993038177,59524.14410880022
6,2459522.7278472,335.5214678,19.8766683,1,19.996999740600586,0.17745700478553772,59522.22784719989
7,2459522.6762847,335.5215799,19.8767076,2,19.490800857543945,0.1383650004863739,59522.17628470017
9,2459520.6797106,335.521575,19.8766929,1,20.028200149536133,0.15253600478172302,59520.17971060006
10,2459517.6697801,335.5215299,19.876657,1,19.93939971923828,0.16332200169563293,59517.16978010023
11,2459517.6321412,335.5215722,19.8767044,2,19.37929916381836,0.11595600098371506,59517.132141199894
12,2459510.7129282,335.5215558,19.8767819,1,19.670400619506836,0.20096899569034576,59510.21292820014
14,2459504.7835069,335.521608,19.8767328,2,18.921100616455078,0.14194299280643463,59504.28350690007
15,2459504.7284722,335.5216605,19.8767,1,19.461000442504883,0.17248199880123138,59504.22847220022
16,2459502.7404167,335.521652,19.8767381,1,19.48189926147461,0.1841219961643219,59502.24041670002
17,2459502.7058333,335.5216224,19.8767031,2,18.85300064086914,0.11901800334453583,59502.20583330002
18,2459497.7258449,335.5215808,19.8767047,2,18.69420051574707,0.0770149976015091,59497.225844900124
19,2459491.7847338,335.5216084,19.8766735,1,19.604000091552734,0.17608200013637543,59491.28473380022
20,2459491.7131366,335.5215921,19.8766836,2,18.489999771118164,0.07328499853610992,59491.213136599865
21,2459489.7640509,335.5215925,19.8766902,2,18.405899047851562,0.08149600028991699,59489.264050900005
22,2459489.7640509,335.5215925,19.8766902,2,18.405899047851562,0.08149600028991699,59489.264050900005
23,2459489.7386343,335.5215028,19.8766887,1,19.418699264526367,0.14372099936008453,59489.23863429995
24,2459489.7386343,335.5215028,19.8766887,1,19.418699264526367,0.14372099936008453,59489.23863429995
25,2459487.7593981,335.5215851,19.8766852,1,19.441600799560547,0.12956400215625763,59487.259398099966
