,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459470.6798495,282.3345071,45.3225659,2,19.576379776000977,0.09393800050020218,59470.17984949984
6,2459464.6847569,282.334555,45.3226063,1,20.329700469970703,0.22331100702285767,59464.184756900184
8,2459462.7402778,282.3345053,45.32259,2,19.533000946044922,0.11656200140714645,59462.24027779978
9,2459460.7830787,282.3345226,45.3225616,1,19.91189956665039,0.16368499398231506,59460.28307869984
10,2459460.7439815,282.3345007,45.3225971,2,19.416099548339844,0.1077750027179718,59460.243981500156
11,2459458.7654167,282.3345606,45.3225764,1,19.75119972229004,0.15163899958133698,59458.26541669993
12,2459458.739537,282.3345219,45.3226024,2,19.332399368286133,0.12012200057506561,59458.23953700019
14,2459454.7197685,282.3345128,45.3225983,1,19.40049934387207,0.09692800045013428,59454.219768499956
15,2459452.8048148,282.3345314,45.3226227,1,19.23780059814453,0.10943000018596649,59452.304814800154
16,2459452.7029514,282.3344856,45.3225797,2,18.917200088500977,0.09979400038719177,59452.202951400075
17,2459450.8031597,282.3344364,45.3225554,2,18.966999053955078,0.14305999875068665,59450.303159699775
18,2459450.7419676,282.334565,45.3225548,1,19.109100341796875,0.1502230018377304,59450.24196759984
19,2459448.7536574,282.334531,45.3225586,2,18.786100387573242,0.11145400255918503,59448.25365740014
20,2459448.6975463,282.3345097,45.3225813,1,18.96579933166504,0.11408700048923492,59448.19754630001
22,2459441.7902662,282.3345084,45.3225744,1,19.003799438476562,0.09231700003147125,59441.29026619997
24,2459439.8462963,282.3345538,45.3226088,1,19.106599807739258,0.12645800411701202,59439.34629630018
25,2459436.8724074,282.3344525,45.3226226,2,19.45599937438965,0.1196959987282753,59436.37240740005
26,2459436.8540046,282.3346229,45.3225848,1,19.451900482177734,0.12083400040864944,59436.354004600085
27,2459434.8523148,282.3344654,45.3226192,2,19.871000289916992,0.1389629989862442,59434.352314800024
28,2459434.7421181,282.3345243,45.3225962,1,19.75860023498535,0.12271600216627121,59434.24211810017
