,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459790.9047454,14.0741902,15.4181306,2,19.39298439025879,0.2021711766719818,59790.40474539995
28,2459474.7943519,14.0741852,15.4178246,2,20.058570861816406,0.20845100283622742,59474.2943519
32,2459471.9229745,14.0743683,15.4178622,2,20.23699951171875,0.19690600037574768,59471.422974499874
33,2459471.8613773,14.0742959,15.4179602,1,20.51059913635254,0.28534001111984253,59471.36137730023
38,2459467.9245023,14.0744323,15.4177608,1,20.307100296020508,0.22476500272750854,59467.4245023001
41,2459465.9009259,14.0743891,15.4177249,1,20.505699157714844,0.2545959949493408,59465.400925899856
42,2459465.8613657,14.0743349,15.4177788,2,20.264699935913086,0.17055100202560425,59465.36136570014
44,2459463.8817477,14.0742549,15.4178678,2,20.288799285888672,0.20023299753665924,59463.38174769981
45,2459463.8689005,14.0743028,15.4178591,1,20.394800186157227,0.192438006401062,59463.36890049977
48,2459461.901875,14.0742825,15.4178115,1,20.376399993896484,0.212785005569458,59461.40187499998
49,2459461.8841898,14.0743084,15.4178406,2,20.246999740600586,0.22290700674057007,59461.384189799894
52,2459459.8798148,14.0743333,15.4178746,2,19.906999588012695,0.15682600438594818,59459.379814799875
53,2459459.8485301,14.0743492,15.4178035,1,20.305500030517578,0.20731300115585327,59459.34853010019
55,2459454.9353125,14.07432,15.4177567,2,19.978700637817383,0.19185900688171387,59454.43531250022
58,2459454.8624421,14.0743348,15.4176959,1,20.13050079345703,0.20253899693489075,59454.362442099955
64,2459446.9774306,14.0743803,15.4177744,1,19.97719955444336,0.1951490044593811,59446.47743060021
65,2459446.915787,14.0742563,15.4178229,2,19.80929946899414,0.2504880130290985,59446.41578700021
66,2459443.8531481,14.074256,15.417815,1,20.07819938659668,0.1910409927368164,59443.353148099966
67,2459442.9641667,14.0743371,15.4177898,1,19.840999603271484,0.14673200249671936,59442.46416669991
68,2459442.9255671,14.0743437,15.4177856,2,20.070499420166016,0.19656500220298767,59442.425567099825
