,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459474.8526505,15.1877662,-21.432226,1,19.499170303344727,0.19713599979877472,59474.3526504999
1,2459471.918669,15.1877238,-21.4322174,2,18.702499389648438,0.09513799846172333,59471.4186689998
2,2459471.8599421,15.1876923,-21.4322741,1,19.30120086669922,0.18395499885082245,59471.35994210001
3,2459469.9202894,15.1876828,-21.4323015,1,19.184099197387695,0.10162299871444702,59469.420289400034
4,2459469.8772222,15.1876968,-21.4322697,2,18.700599670410156,0.08169600367546082,59469.377222199924
5,2459467.9226042,15.1876688,-21.432266,1,19.062999725341797,0.11472400277853012,59467.422604199965
6,2459467.8764815,15.1877116,-21.4322279,2,18.692800521850586,0.08236599713563919,59467.37648149999
7,2459465.961875,15.1877221,-21.4322874,2,18.593599319458008,0.09927000105381012,59465.46187500004
8,2459465.8980671,15.1876995,-21.4322494,1,18.725900650024414,0.07902199774980545,59465.39806709997
9,2459463.9203125,15.1877016,-21.4322706,1,18.50119972229004,0.07942699640989304,59463.42031250009
10,2459463.877037,15.1877355,-21.4322217,2,18.57900047302246,0.08706200122833252,59463.37703699991
11,2459461.8980903,15.1876743,-21.4322234,1,18.330299377441406,0.0664680004119873,59461.39809030015
12,2459461.8764468,15.1877104,-21.4322521,2,18.37579917907715,0.07037299871444702,59461.37644679984
13,2459459.8765162,15.1877215,-21.4322498,2,18.201799392700195,0.08090899884700775,59459.37651620014
14,2459456.9773958,15.1876923,-21.4322737,1,17.940500259399414,0.057812001556158066,59456.47739579994
15,2459456.9299769,15.1877233,-21.4322452,2,18.010299682617188,0.06419900059700012,59456.42997690011
16,2459453.9613426,15.187694,-21.4322442,2,17.972200393676758,0.05787099897861481,59453.461342600174
17,2459453.9190741,15.1876743,-21.4322269,1,17.834800720214844,0.06606700271368027,59453.41907409998
18,2459451.9790972,15.1876968,-21.4322269,2,17.979799270629883,0.07693800330162048,59451.47909720009
19,2459444.9624769,15.1876853,-21.4322634,2,18.71190071105957,0.08177000284194946,59444.46247689985
20,2459442.9603935,15.1877274,-21.432251,1,19.07670021057129,0.10019999742507935,59442.46039350005
21,2459442.93875,15.1876759,-21.4322721,2,19.149700164794922,0.1271830052137375,59442.438750000205
