,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459474.9756829,80.8901042,63.0648542,2,19.73607063293457,0.1448349952697754,59474.47568289982
4,2459472.9891204,80.8902207,63.0648551,2,19.59950065612793,0.09310699999332428,59472.489120400045
7,2459470.9700694,80.8901617,63.0648478,2,19.464799880981445,0.096049003303051,59470.470069400035
10,2459469.972581,80.8900986,63.0648369,2,19.527299880981445,0.10398399829864502,59469.47258100007
11,2459468.9446065,80.8900679,63.0646607,1,20.380699157714844,0.2499990016222,59468.44460650021
12,2459468.8850231,80.8901177,63.0647479,2,19.371299743652344,0.15910400450229645,59468.385023099836
13,2459467.9906481,80.8901794,63.0648352,2,19.378700256347656,0.10363499820232391,59467.49064810015
17,2459465.9883796,80.8901844,63.0648364,2,19.34280014038086,0.12191300094127655,59465.48837959999
19,2459464.9900579,80.8900875,63.0648464,2,19.265100479125977,0.11041100323200226,59464.49005790008
20,2459464.9900579,80.8900875,63.0648464,2,19.265100479125977,0.11041100323200226,59464.49005790008
21,2459463.9114815,80.8901269,63.0648625,2,19.414499282836914,0.12842699885368347,59463.41148150014
22,2459461.9921528,80.8901319,63.0648238,2,19.24250030517578,0.07740099728107452,59461.49215279985
23,2459461.9787847,80.8901606,63.0648529,2,19.414100646972656,0.10995099693536758,59461.478784699924
24,2459461.9543171,80.8901894,63.0648361,1,20.15880012512207,0.13661900162696838,59461.45431709988
25,2459461.9205324,80.8902829,63.0647744,1,19.84910011291504,0.21879099309444427,59461.42053239979
26,2459459.9888079,80.8901628,63.0648666,2,19.378799438476562,0.12724000215530396,59459.48880789988
27,2459459.9877315,80.8902238,63.0648032,2,19.213600158691406,0.08884900063276291,59459.48773150006
30,2459454.9446065,80.8901513,63.064827,2,19.126699447631836,0.08768299967050552,59454.44460650021
31,2459454.9079282,80.8900794,63.0648683,1,19.225400924682617,0.1309410035610199,59454.40792819997
33,2459452.9501968,80.8902234,63.0648601,2,19.010000228881836,0.1294099986553192,59452.45019679982
34,2459451.9846065,80.890119,63.0648483,2,18.881000518798828,0.0790020003914833,59451.484606499784
35,2459449.9480208,80.8902237,63.0648493,1,18.93239974975586,0.22845199704170227,59449.44802080002
39,2459446.9631829,80.8900128,63.0648126,1,18.85540008544922,0.10464899986982346,59446.4631829001
40,2459446.8922454,80.8901589,63.0648615,2,18.710100173950195,0.15516400337219238,59446.39224540023
41,2459442.9766319,80.8901095,63.0648396,1,18.71579933166504,0.13495999574661255,59442.47663189983
42,2459442.9508333,80.8900509,63.0648701,2,18.61389923095703,0.0954039990901947,59442.45083330013
