,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459473.7404051,300.1452549,54.647892,2,19.86595916748047,0.1604509949684143,59473.24040509993
1,2459470.7689699,300.145261,54.647871,2,19.785900115966797,0.10762199759483337,59470.268969899975
2,2459470.7445139,300.1452738,54.6478923,1,20.4242000579834,0.1571110039949417,59470.24451390002
4,2459468.703912,300.145226,54.6478321,1,20.35700035095215,0.1825529932975769,59468.20391200017
5,2459466.8459144,300.1452774,54.6478428,2,19.537099838256836,0.12711599469184875,59466.34591440018
6,2459466.8123727,300.1453011,54.6478975,1,20.029499053955078,0.1577959954738617,59466.312372699846
7,2459464.819838,300.1452548,54.6478767,2,19.381900787353516,0.11879599839448929,59464.319837999996
8,2459464.819838,300.1452548,54.6478767,2,19.381900787353516,0.11879599839448929,59464.319837999996
9,2459464.7409259,300.145281,54.6478997,1,19.815500259399414,0.13710300624370575,59464.24092590017
10,2459464.7409259,300.145281,54.6478997,1,19.815500259399414,0.13710300624370575,59464.24092590017
11,2459462.8886227,300.1452943,54.6478678,2,19.348400115966797,0.10230100154876709,59462.38862269977
12,2459462.7600116,300.1453233,54.6478586,1,19.67840003967285,0.14809000492095947,59462.260011599865
13,2459460.8253009,300.1452723,54.6478575,2,19.19849967956543,0.09786999970674515,59460.3253008998
14,2459460.8038426,300.145345,54.6478836,1,19.504899978637695,0.12233900278806686,59460.30384259997
15,2459458.7628588,300.1453413,54.647865,1,19.402799606323242,0.13120800256729126,59458.262858800124
16,2459458.7371759,300.1453137,54.6478847,2,19.23349952697754,0.07682099938392639,59458.23717590002
17,2459453.7685301,300.1452588,54.6478836,2,19.313199996948242,0.07426200062036514,59453.26853010012
18,2459453.7024653,300.1452816,54.6478811,1,19.295700073242188,0.07921399921178818,59453.20246529998
19,2459451.7080903,300.1452961,54.6479429,1,19.452499389648438,0.14488999545574188,59451.208090300206
21,2459449.8260301,300.1452155,54.6478666,2,19.55739974975586,0.22124800086021423,59449.32603010023
22,2459449.7250231,300.1452268,54.6478831,1,19.479000091552734,0.16168999671936035,59449.22502310015
23,2459446.9278704,300.1451786,54.6477842,1,19.775400161743164,0.3067440092563629,59446.427870399784
