,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460911.8352083,351.2047555,-13.029407,2,20.297502517700195,0.21008069813251495,60911.335208300035
1,2460909.9012963,351.2048823,-13.0294164,1,20.469200134277344,0.22982800006866455,60909.40129629988
3,2460905.8998727,351.2048984,-13.0293887,1,20.327699661254883,0.1755259931087494,60905.39987270022
5,2460903.889294,351.2047358,-13.0293661,1,20.423999786376953,0.2299640029668808,60903.38929399988
24,2460891.8983333,351.2048614,-13.0294596,1,20.371000289916992,0.2219969928264618,60891.398333299905
25,2460891.8973958,351.2048934,-13.0294629,1,20.59510040283203,0.284963995218277,60891.39739579987
26,2460891.8964583,351.2047542,-13.0295501,1,20.292800903320312,0.22715699672698975,60891.39645829983
28,2460891.853125,351.2048793,-13.0294433,3,19.779600143432617,0.22963500022888184,60891.35312499991
30,2460889.8979282,351.2048179,-13.0295042,1,20.449199676513672,0.23429399728775024,60889.3979282002
31,2460889.8969907,351.2048905,-13.0294391,1,20.38159942626953,0.21546100080013275,60889.39699070016
34,2460888.9434144,351.2048088,-13.0293883,1,20.34939956665039,0.2372789978981018,60888.443414399866
35,2460888.9434144,351.2048088,-13.0293883,1,20.34939956665039,0.2372789978981018,60888.443414399866
38,2460887.9166435,351.2048399,-13.029376,1,20.739500045776367,0.32270100712776184,60887.41664349986
40,2460887.8914236,351.2048647,-13.0294095,3,20.025100708007812,0.24887600541114807,60887.391423599795
42,2460886.9198495,351.2048371,-13.0294629,1,20.60569953918457,0.2559190094470978,60886.41984950006
43,2460886.9189005,351.2048808,-13.0294837,1,20.487699508666992,0.20701099932193756,60886.41890050005
44,2460886.8933565,351.2049688,-13.0294332,3,19.73900032043457,0.18293499946594238,60886.39335650019
45,2460886.8597569,351.2049246,-13.0294213,2,20.370100021362305,0.2392449975013733,60886.3597569
46,2460885.9178588,351.2047508,-13.0293768,1,20.591400146484375,0.26196199655532837,60885.41785879992
47,2460885.9173843,351.2047913,-13.029531,1,20.69879913330078,0.2568559944629669,60885.417384299915
48,2460885.881088,351.2049323,-13.0294364,1,20.816200256347656,0.28165701031684875,60885.38108799979
50,2460885.8506944,351.2048735,-13.0294171,2,20.39229965209961,0.28195399045944214,60885.35069439979
51,2460885.8497454,351.2047493,-13.0293842,2,20.371999740600586,0.23266400396823883,60885.349745399784
52,2460884.9316204,351.2049161,-13.0294122,3,19.903600692749023,0.19411499798297882,60884.43162039993
53,2460884.8801389,351.2048767,-13.0294279,2,20.497299194335938,0.19908499717712402,60884.38013890013
57,2460882.8996412,351.2048579,-13.0294427,3,19.957500457763672,0.2505219876766205,60882.39964119997
58,2460881.9368981,351.2048038,-13.0294406,1,20.591899871826172,0.29523199796676636,60881.43689810019
62,2460880.9355208,351.2047064,-13.0292779,1,20.71419906616211,0.26739299297332764,60880.43552079983
63,2460880.9345833,351.2049548,-13.0294773,1,20.584299087524414,0.27268099784851074,60880.43458329979
66,2460879.9356134,351.2048453,-13.0295163,1,20.90019989013672,0.3203960061073303,60879.43561339984
67,2460879.9346644,351.2049997,-13.0294804,1,20.608999252319336,0.2987920045852661,60879.43466439983
69,2460879.8816204,351.2048952,-13.0294629,2,20.17169952392578,0.30558300018310547,60879.38162040012
106,2459529.7109028,351.2048893,-13.0294154,1,19.709449768066406,0.18617600202560425,59529.21090279985
107,2459526.6899421,351.2048624,-13.0294389,1,19.791900634765625,0.16858099400997162,59526.189942100085
109,2459524.7328704,351.2048823,-13.0294057,2,19.694700241088867,0.13078999519348145,59524.23287039995
110,2459524.6498495,351.2048362,-13.0294458,1,19.76919937133789,0.13613300025463104,59524.14984950004
111,2459522.7322454,351.2048425,-13.0294426,1,19.763500213623047,0.1422239989042282,59522.23224540008
113,2459520.7909259,351.2048615,-13.02951,1,19.857200622558594,0.18833300471305847,59520.290925899986
114,2459520.7102894,351.2049045,-13.0294264,2,20.06100082397461,0.21007700264453888,59520.21028940007
115,2459512.7133681,351.2049287,-13.0295498,1,20.119400024414062,0.2691360116004944,59512.213368100114
116,2459512.6607523,351.2048391,-13.029458,2,20.034500122070312,0.14782999455928802,59512.16075230017
121,2459497.7985648,351.2048463,-13.0293582,2,20.131799697875977,0.2652460038661957,59497.29856480006
122,2459490.8158333,351.2048342,-13.0294843,1,20.34149932861328,0.24651099741458893,59490.31583329989
123,2459472.8622106,351.2049184,-13.0294197,2,20.312829971313477,0.15888799726963043,59472.36221060017
124,2459470.9146296,351.2049288,-13.0294919,2,20.45050048828125,0.3187820017337799,59470.41462960001
125,2459468.9286921,351.2049262,-13.0293766,1,20.601600646972656,0.38991299271583557,59468.428692100104
127,2459462.8726968,351.2049101,-13.0294215,2,20.365400314331055,0.22658100724220276,59462.37269680016
128,2459462.813287,351.2048134,-13.0294461,1,20.32430076599121,0.2144249975681305,59462.31328700017
129,2459460.8939352,351.2049287,-13.0294795,1,20.50790023803711,0.2469319999217987,59460.39393519983
130,2459454.8352083,351.2048794,-13.0294279,2,20.234800338745117,0.20412200689315796,59454.335208300035
