,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459491.6592245,237.3853019,65.7032578,2,17.86064910888672,0.05007399991154671,59491.15922449995
1,2459491.639838,237.3852206,65.7032773,1,18.226499557495117,0.09917400032281876,59491.13983799983
2,2459488.6604398,237.3852939,65.7032663,2,17.77039909362793,0.04944000020623207,59488.160439800005
3,2459488.6450463,237.3853163,65.7032751,1,18.01140022277832,0.07086600363254547,59488.14504629979
4,2459488.6440972,237.385273,65.7032547,1,17.947900772094727,0.06799499690532684,59488.14409720013
5,2459486.6835417,237.3853064,65.7032283,2,17.813499450683594,0.052664998918771744,59486.18354169978
6,2459486.6830671,237.3853133,65.7032576,2,17.744300842285156,0.04194200038909912,59486.18306710012
7,2459486.6377199,237.3853358,65.7032603,1,17.752300262451172,0.0649230033159256,59486.13771989988
8,2459486.6372454,237.3852717,65.7032401,1,17.793100357055664,0.05855200067162514,59486.13724539988
9,2459484.6818403,237.3852845,65.7032615,1,17.632600784301758,0.05742799863219261,59484.181840300094
10,2459484.6813773,237.3852609,65.7032629,1,17.603500366210938,0.04426499828696251,59484.18137730006
11,2459480.7009259,237.3853569,65.7032409,2,17.3518009185791,0.050296999514102936,59480.200925900135
12,2459480.700463,237.3852526,65.7032625,2,17.388900756835938,0.043258000165224075,59480.20046300022
13,2459480.6553819,237.3853353,65.7032514,1,17.26059913635254,0.05340300127863884,59480.15538189979
14,2459480.6549074,237.3853318,65.7032586,1,17.32349967956543,0.0439939983189106,59480.15490739979
15,2459478.6986574,237.385295,65.7032524,2,17.184099197387695,0.04312499985098839,59478.198657399975
16,2459478.6981829,237.3852708,65.7032398,2,17.23590087890625,0.04855100065469742,59478.19818289997
17,2459478.6585185,237.3853049,65.7032716,1,17.194000244140625,0.050732001662254333,59478.15851850016
18,2459478.658044,237.3852665,65.7032547,1,17.140499114990234,0.05611100047826767,59478.158044000156
19,2459476.6974653,237.3852421,65.7032455,2,17.135700225830078,0.03832399845123291,59476.197465300094
20,2459476.6969907,237.3852834,65.7032508,2,17.119199752807617,0.04745199903845787,59476.19699069997
21,2459476.6561227,237.3852587,65.7032581,1,17.0718994140625,0.045478999614715576,59476.156122699846
22,2459476.6556597,237.3852719,65.7032408,1,17.07229995727539,0.05120500177145004,59476.15565969981
23,2459473.7026968,237.3853551,65.7032541,1,16.95400047302246,0.04641899839043617,59473.20269680023
24,2459473.7022222,237.3853151,65.7032679,1,16.979799270629883,0.04267999902367592,59473.20222220011
25,2459473.6580208,237.3853217,65.7032605,2,17.063100814819336,0.04214400053024292,59473.15802079998
26,2459473.6453241,237.3853101,65.7032562,2,17.056100845336914,0.03982200101017952,59473.14532409981
27,2459470.7204398,237.3853916,65.7032818,1,16.979299545288086,0.03934599831700325,59470.22043980006
28,2459470.7199769,237.3852602,65.7032671,1,16.9507999420166,0.03652200102806091,59470.219976900145
29,2459470.6578125,237.385302,65.7032574,2,17.119199752807617,0.03450300171971321,59470.15781249991
30,2459466.7221296,237.3853505,65.7032424,1,17.121599197387695,0.04152299836277962,59466.22212960012
31,2459466.6565741,237.3852776,65.7032578,2,17.28219985961914,0.039236001670360565,59466.15657409979
32,2459464.7215162,237.3853342,65.7032486,2,17.501699447631836,0.046434998512268066,59464.221516199876
33,2459464.7215162,237.3853342,65.7032486,2,17.501699447631836,0.046434998512268066,59464.221516199876
34,2459464.7210417,237.3852963,65.7032531,2,17.4689998626709,0.04887399822473526,59464.22104169987
35,2459464.7210417,237.3852963,65.7032531,2,17.4689998626709,0.04887399822473526,59464.22104169987
36,2459464.6627199,237.3852742,65.7032541,1,17.34630012512207,0.04998299852013588,59464.16271989979
37,2459464.6627199,237.3852742,65.7032541,1,17.34630012512207,0.04998299852013588,59464.16271989979
38,2459462.7368519,237.3852615,65.7032627,2,17.80430030822754,0.053224001079797745,59462.236851899885
39,2459462.7205324,237.3852854,65.7032511,2,17.77829933166504,0.044516999274492264,59462.22053240007
40,2459462.6809375,237.3853162,65.7032548,1,17.62540054321289,0.05249800160527229,59462.180937500205
41,2459462.6804745,237.3853443,65.7032684,1,17.67799949645996,0.05094899982213974,59462.18047450017
42,2459460.7237731,237.3852928,65.7032606,2,18.254100799560547,0.057989999651908875,59460.22377309995
43,2459460.7233102,237.3852523,65.703267,2,18.22960090637207,0.050641998648643494,59460.22331020003
44,2459460.6786458,237.3852389,65.7032598,1,18.075199127197266,0.07357800006866455,59460.17864579987
45,2459460.6776968,237.3853126,65.7032654,1,18.103300094604492,0.05532100051641464,59460.17769679986
46,2459458.7179051,237.3852851,65.7032332,2,18.78510093688965,0.07966200262308121,59458.21790509997
47,2459458.7174421,237.3852153,65.7032399,2,18.764799118041992,0.09373500198125839,59458.217442099936
48,2459458.6801273,237.3852233,65.7032556,1,18.754899978637695,0.07745999842882156,59458.18012729986
49,2459458.6666782,237.385338,65.7032585,1,18.84980010986328,0.09774500131607056,59458.16667820001
50,2459455.7210301,237.3852459,65.7032618,1,20.17569923400879,0.2018660008907318,59455.22103009978
51,2459455.7195833,237.3851944,65.7031452,1,20.379899978637695,0.2277819961309433,59455.21958329994
53,2459455.6831366,237.3854107,65.7032511,2,20.05139923095703,0.1802690029144287,59455.18313660007
