,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459473.6424769,240.3679137,26.944642,2,20.084890365600586,0.20035700500011444,59473.142476900015
1,2459470.6975347,240.367962,26.9446507,1,20.095300674438477,0.27667099237442017,59470.197534699924
4,2459468.6525231,240.3679269,26.9446794,1,20.09819984436035,0.2257619947195053,59468.15252309991
5,2459466.6518634,240.3678884,26.9447118,2,20.173599243164062,0.18284599483013153,59466.15186339989
6,2459464.718206,240.367966,26.944649,2,19.958919525146484,0.1840910017490387,59464.21820600005
7,2459464.718206,240.367966,26.944649,2,19.958900451660156,0.1840910017490387,59464.21820600005
8,2459464.6664931,240.3678537,26.9446372,1,20.01180076599121,0.1836329996585846,59464.166493100114
9,2459464.6664931,240.3678537,26.9446372,1,20.01180076599121,0.1836329996585846,59464.166493100114
10,2459462.7238542,240.3679063,26.9446971,2,20.211000442504883,0.23614700138568878,59462.22385419998
11,2459462.6847801,240.3678787,26.9446428,1,19.900299072265625,0.19471299648284912,59462.184780099895
12,2459460.7016898,240.3678906,26.9447219,2,20.11359977722168,0.24771100282669067,59460.20168979978
13,2459460.6857639,240.3679382,26.9445726,1,20.076499938964844,0.21178099513053894,59460.18576390017
14,2459457.7226505,240.3679117,26.9447539,1,20.222999572753906,0.24836699664592743,59457.222650500014
16,2459454.683588,240.3678566,26.9446999,1,20.532400131225586,0.2830420136451721,59454.183588000014
