,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460238.694919,315.6954354,15.8547901,1,18.598939895629883,0.07386603206396103,60238.194918999914
1,2460238.6315741,315.6954009,15.854796,2,18.467899322509766,0.08009800314903259,60238.13157409988
2,2460236.7645833,315.6954179,15.8547931,2,17.488100051879883,0.0444520004093647,60236.26458329987
3,2460236.6949884,315.6954374,15.8547882,1,17.32360076904297,0.05141599848866463,60236.19498840021
4,2460234.6941898,315.6954339,15.8547923,1,17.070499420166016,0.05433100089430809,60234.19418979995
5,2460234.6514583,315.6954082,15.8547962,2,17.253000259399414,0.039076998829841614,60234.151458300184
6,2460232.6858218,315.6954359,15.8547831,2,16.952999114990234,0.030136000365018845,60232.18582180003
7,2460232.6461227,315.6954267,15.8547954,1,16.631799697875977,0.0331679992377758,60232.14612270007
8,2460230.8262384,315.6954589,15.8548263,1,16.415000915527344,0.03992699831724167,60230.32623839984
9,2460230.7034375,315.6954094,15.8548062,2,16.607900619506836,0.04694399982690811,60230.20343750017
10,2460228.7132986,315.695445,15.8547932,1,16.671899795532227,0.04413900151848793,60228.21329860017
11,2460228.6670833,315.6954379,15.8547854,2,17.137300491333008,0.030580999329686165,60228.167083300184
36,2459491.7750347,315.6954213,15.8547945,1,17.37367057800293,0.06606800109148026,59491.275034700055
37,2459491.6920833,315.6954107,15.8547733,2,17.56719970703125,0.04920800030231476,59491.19208330009
38,2459489.7400579,315.6954275,15.8547978,1,17.220300674438477,0.04570300132036209,59489.24005790008
39,2459487.7405208,315.6954225,15.8547816,2,17.041200637817383,0.03853699937462807,59487.2405208
40,2459487.717338,315.6954425,15.8547893,1,16.929899215698242,0.038013000041246414,59487.21733799996
41,2459485.7570602,315.6954248,15.8548003,1,16.459999084472656,0.03795799985527992,59485.257060199976
42,2459485.712419,315.6954216,15.8547904,2,16.601200103759766,0.035652000457048416,59485.21241899999
43,2459480.8121181,315.6954347,15.8547971,1,15.64169979095459,0.03472600132226944,59480.3121181
44,2459480.7166667,315.69541,15.8547852,2,15.85990047454834,0.038495998829603195,59480.21666669985
