,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459540.8276389,65.5412435,35.665962,2,18.59218978881836,0.18209999799728394,59540.32763889991
1,2459532.885,65.5412673,35.6661286,2,18.523300170898438,0.06589200347661972,59532.38499999978
2,2459532.8050926,65.5412638,35.6660502,1,19.50079917907715,0.2309339940547943,59532.305092600174
3,2459530.8538773,65.5413016,35.6661195,2,18.551599502563477,0.08461900055408478,59530.35387729993
4,2459530.8234722,65.5412952,35.6660743,1,19.540000915527344,0.1598069965839386,59530.32347219996
5,2459527.8534144,65.5412795,35.6661617,2,18.641799926757812,0.25228598713874817,59527.353414400015
6,2459527.8083333,65.541355,35.6661351,1,19.433900833129883,0.14832299947738647,59527.308333300054
7,2459525.8315856,65.5413489,35.666122,1,19.29840087890625,0.10780300199985504,59525.33158560004
8,2459525.806331,65.5412756,35.6661345,2,18.473899841308594,0.07152900099754333,59525.306330999825
9,2459523.8260532,65.5413363,35.6661211,1,19.24650001525879,0.09603899717330933,59523.326053199824
10,2459523.7591319,65.5412648,35.6661461,2,18.348499298095703,0.0723000019788742,59523.259131900035
11,2459521.8724884,65.5413008,35.6661409,2,18.353300094604492,0.08271899819374084,59521.37248839997
12,2459521.8225,65.5413127,35.6661224,1,19.128599166870117,0.12264099717140198,59521.32249999978
14,2459518.8270602,65.541279,35.6661393,2,18.2893009185791,0.06969500333070755,59518.32706019981
15,2459512.9198264,65.5412832,35.6661691,1,18.68549919128418,0.12228800356388092,59512.4198264
16,2459504.9677894,65.5412749,35.6661389,2,18.003999710083008,0.0654670000076294,59504.4677893999
17,2459504.9442708,65.5412798,35.666134,1,18.41659927368164,0.10326699912548065,59504.44427079987
18,2459502.9985417,65.5412748,35.6661398,2,18.069700241088867,0.08454299718141556,59502.49854170019
19,2459502.9563889,65.541326,35.6661057,1,18.505599975585938,0.08510500192642212,59502.45638890006
20,2459498.8683218,65.5412712,35.6661435,2,18.29439926147461,0.07708600163459778,59498.36832180014
21,2459496.9298148,65.5413235,35.6661422,2,19.502300262451172,0.18043899536132812,59496.429814800154
22,2459496.8676968,65.5413517,35.6660598,1,19.760799407958984,0.19246099889278412,59496.3676967998
