,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459530.7306134,8.8288841,-19.8949444,2,19.095550537109375,0.1333640068769455,59530.23061340023
3,2459529.6905556,8.8288503,-19.8949546,2,18.91080093383789,0.08116400241851807,59529.190555599984
4,2459526.732963,8.8288397,-19.8949387,2,19.00279998779297,0.09418799728155136,59526.23296299996
6,2459524.7500347,8.8288368,-19.8949519,2,18.864099502563477,0.08433499932289124,59524.25003470015
7,2459522.7977662,8.8288383,-19.8949506,2,18.829700469970703,0.08484199643135071,59522.2977661998
9,2459520.7522106,8.8288408,-19.8949453,2,18.714000701904297,0.07299499958753586,59520.252210599836
10,2459517.7734028,8.8288487,-19.8949636,2,18.52429962158203,0.05292399972677231,59517.27340279985
12,2459511.7567824,8.8288282,-19.895005,2,18.331100463867188,0.05901600047945976,59511.256782399956
13,2459509.7564583,8.8288097,-19.8949373,2,18.371200561523438,0.09845100343227386,59509.256458300166
14,2459503.7879745,8.8288765,-19.894949,2,18.810199737548828,0.1333869993686676,59503.2879745001
17,2459502.8157986,8.8288032,-19.8949798,2,18.81290054321289,0.12319699674844742,59502.315798600204
