,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459550.6296412,5.1111788,29.4493483,2,19.584190368652344,0.19363699853420258,59550.12964119995
1,2459543.6375463,5.1110695,29.4493757,2,19.55500030517578,0.23068900406360626,59543.13754629996
2,2459540.7573264,5.1111174,29.4492886,1,19.708999633789062,0.22658100724220276,59540.25732639991
3,2459540.7468171,5.1110985,29.4492824,1,19.445600509643555,0.2611970007419586,59540.24681709986
4,2459540.7007292,5.1112267,29.4493284,2,19.28499984741211,0.19040200114250183,59540.20072920015
5,2459540.6709028,5.1112676,29.4493304,2,19.093299865722656,0.13163599371910095,59540.170902799815
6,2459537.8315046,5.1111223,29.4493712,2,19.318199157714844,0.2328449934720993,59537.33150460012
7,2459537.8310417,5.1113336,29.449297,2,19.310199737548828,0.2803969979286194,59537.33104170021
8,2459537.7289468,5.1111084,29.4493669,1,19.127399444580078,0.22606399655342102,59537.22894679988
10,2459532.7492361,5.111191,29.4493579,1,19.013500213623047,0.12266799807548523,59532.24923609989
11,2459532.6955093,5.1111652,29.4493449,1,19.100400924682617,0.12428700178861618,59532.1955093001
12,2459532.6390278,5.1111434,29.4493526,2,18.95400047302246,0.12063699960708618,59532.139027799945
13,2459532.6376157,5.1111583,29.4493056,2,19.00160026550293,0.11314699798822403,59532.13761569979
14,2459530.7359838,5.1111318,29.4493565,2,18.779600143432617,0.09479500353336334,59530.23598380014
15,2459530.7355093,5.1111563,29.4493328,2,18.829200744628906,0.10464499890804291,59530.23550930014
16,2459530.6389236,5.1111806,29.4492551,1,19.071800231933594,0.13411599397659302,59530.13892359985
17,2459530.6331019,5.1111732,29.4492814,1,19.089599609375,0.14257000386714935,59530.13310190011
18,2459527.7135301,5.111112,29.4493342,1,18.883100509643555,0.08170600235462189,59527.21353009995
19,2459527.712581,5.1111636,29.4493344,1,18.950199127197266,0.086558997631073,59527.212580999825
20,2459527.6921412,5.1111763,29.4493272,2,18.876699447631836,0.07963600009679794,59527.19214119995
21,2459527.6906829,5.111124,29.4493341,2,18.84480094909668,0.10277199745178223,59527.19068290014
22,2459525.7113426,5.1111852,29.4493366,1,18.7898006439209,0.10828500241041183,59525.211342600174
23,2459525.6915972,5.1110486,29.4493218,1,18.907800674438477,0.10530800372362137,59525.1915972
24,2459525.6618981,5.1111378,29.4493102,2,18.836599349975586,0.0807579979300499,59525.16189809982
25,2459525.6604861,5.1111557,29.4492942,2,18.83449935913086,0.06128999963402748,59525.160486099776
26,2459523.7261574,5.1111696,29.4493503,2,18.816200256347656,0.09257099777460098,59523.226157399826
27,2459523.6955903,5.1111892,29.4493327,1,18.795499801635742,0.08192399889230728,59523.19559030002
28,2459523.6937153,5.1110609,29.4493122,1,18.9060001373291,0.10299400240182877,59523.193715299945
29,2459523.6354282,5.1111365,29.4493061,2,18.898500442504883,0.10598400235176086,59523.13542820001
30,2459521.712037,5.1111717,29.449339,1,18.807199478149414,0.1029679998755455,59521.212036999874
31,2459521.7106019,5.1111028,29.4492846,1,18.917999267578125,0.10101500153541565,59521.21060189977
32,2459521.6598495,5.1111342,29.4493263,2,18.97559928894043,0.09422700107097626,59521.15984949982
33,2459521.659375,5.1111971,29.4493296,2,18.84280014038086,0.07614199817180634,59521.159374999814
34,2459518.8047106,5.1111374,29.4493441,2,19.12820053100586,0.11382599920034409,59518.30471060006
35,2459518.767419,5.1111894,29.4493092,1,18.928800582885742,0.08386299759149551,59518.267419000156
36,2459518.7659954,5.1110521,29.4493123,1,19.112300872802734,0.08211000263690948,59518.26599540003
37,2459512.7881366,5.1112848,29.4493017,2,19.7273006439209,0.19028300046920776,59512.28813660005
38,2459512.7238194,5.1111257,29.4493316,1,19.83060073852539,0.19759699702262878,59512.223819400184
39,2459512.6912847,5.1111402,29.44938,1,19.974000930786133,0.21116100251674652,59512.19128469983
40,2459512.6503356,5.111074,29.449275,2,19.99370002746582,0.17756299674510956,59512.150335600134
