,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459551.0109954,188.0397021,68.7851884,2,19.20745086669922,0.10543999820947647,59550.51099540014
2,2459550.9265972,188.0396775,68.7852293,1,20.393699645996094,0.30353298783302307,59550.42659719987
3,2459550.9091782,188.0395789,68.7851214,2,19.09469985961914,0.10044100135564804,59550.40917820018
4,2459539.0103935,188.0396399,68.7851486,1,19.146699905395508,0.1592870056629181,59538.51039349986
5,2459538.9937963,188.0397107,68.7851955,2,18.84040069580078,0.11968199908733368,59538.49379630014
6,2459538.9275231,188.039835,68.7851623,2,18.899900436401367,0.16232599318027496,59538.42752309982
7,2459537.0285301,188.0397013,68.7851608,1,19.215200424194336,0.1408499926328659,59536.528530099895
9,2459533.0145833,188.0395489,68.7851379,1,18.674400329589844,0.08090700209140778,59532.51458329987
10,2459532.9512847,188.0396109,68.7851609,2,18.60540008544922,0.10544999688863754,59532.45128470007
11,2459531.9874421,188.0397271,68.7851636,1,18.62470054626465,0.07153300195932388,59531.487442099955
12,2459530.9901157,188.039544,68.7850332,1,18.520099639892578,0.12978799641132355,59530.490115699824
13,2459530.9525694,188.0398798,68.7850612,2,18.46030044555664,0.11352299898862839,59530.45256939996
14,2459529.0211574,188.0395334,68.7851256,1,18.38010025024414,0.0662349984049797,59528.52115740022
15,2459526.0127315,188.0396344,68.7851805,2,18.272300720214844,0.0586090013384819,59525.51273149997
16,2459525.9741088,188.0395748,68.785186,1,18.25790023803711,0.06890799850225449,59525.474108799826
17,2459524.0357523,188.0396082,68.7851914,1,18.124000549316406,0.06977099925279617,59523.53575230017
18,2459524.0079745,188.0396705,68.7851737,2,18.165000915527344,0.06038200110197067,59523.50797449984
19,2459522.0149769,188.0395173,68.7851329,1,18.090200424194336,0.07082899659872055,59521.51497690007
20,2459521.9735069,188.0396655,68.7851595,2,18.115400314331055,0.08668400347232819,59521.473506900016
21,2459518.0169329,188.0396573,68.7851878,2,18.148799896240234,0.06800899654626846,59517.516932900064
22,2459517.9843519,188.0394759,68.7851618,1,17.986000061035156,0.07385800033807755,59517.48435189994
